"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","significance"
"LINC00317",7.15948313502974e-48,1.40280551672527,0.21,0,2.61650470652797e-43,"Upregulated in Hotspots"
"AC091588.3",7.15948313502974e-48,1.36502908418401,0.21,0,2.61650470652797e-43,"Upregulated in Hotspots"
"AL136981.3",7.15948313502974e-48,1.34025552095774,0.21,0,2.61650470652797e-43,"Upregulated in Hotspots"
"AC005498.2",7.15948313502974e-48,1.21741316101672,0.21,0,2.61650470652797e-43,"Upregulated in Hotspots"
"PAMR1",7.2401180121949e-48,0.970071053262817,0.606,0.752,2.64597352873675e-43,"Upregulated in Hotspots"
"PDHA1",7.39268625675523e-48,0.342749210867532,1,1,2.70173111939377e-43,"Upregulated in Hotspots"
"CDKL3",7.53218571975357e-48,-1.0929977957328,0.985,0.955,2.75271259314114e-43,"Upregulated in Coldspots"
"RIC1",7.87367544652104e-48,0.30253174855123,1,1,2.87751342868558e-43,"Upregulated in Hotspots"
"DENND11",8.05708845697486e-48,-0.354514816692189,0.586,0.176,2.94454354748603e-43,"Upregulated in Coldspots"
"AL359915.1",8.1112091206918e-48,2.42055533099515,0.246,0.014,2.96432248524802e-43,"Upregulated in Hotspots"
"THRB-IT1",8.20723944453161e-48,-1.03860709337332,0.808,0.759,2.99941772739852e-43,"Upregulated in Coldspots"
"ATXN7L3B",8.59756166562581e-48,-2.76218938246978,1,1,3.14206488631961e-43,"Upregulated in Coldspots"
"FRK",8.68448658504665e-48,-1.40152738659692,0.944,0.92,3.17383246737115e-43,"Upregulated in Coldspots"
"HOXC4",8.89457312454384e-48,5.18915588973821,0.218,0.003,3.25061069409579e-43,"Upregulated in Hotspots"
"ZNF282",9.0684512721207e-48,-0.787097959954352,0.985,0.982,3.31415620190923e-43,"Upregulated in Coldspots"
"PCF11-AS1",9.09916826740671e-48,0.96612568083474,0.324,0.046,3.32538203500646e-43,"Upregulated in Hotspots"
"AP001025.1",9.34371034987375e-48,0.572180283029834,0.295,0.033,3.41475238446486e-43,"Upregulated in Hotspots"
"TUG1",9.42468119980984e-48,0.318291758578196,1,1,3.44434399128251e-43,"Upregulated in Hotspots"
"SMYD3-IT1",9.44627422907996e-48,1.62812413011287,0.221,0.004,3.45223537975956e-43,"Upregulated in Hotspots"
"C3orf20",9.58753829912659e-48,-0.3780426604624,0.625,0.189,3.5038617467988e-43,"Upregulated in Coldspots"
"AC073349.4",9.72578154562759e-48,-4.03385095470143,0.631,0.63,3.55438412366506e-43,"Upregulated in Coldspots"
"EAF1-AS1",9.82711751468507e-48,-3.441609590524,0.235,0.469,3.59141836691681e-43,"Upregulated in Coldspots"
"IER5",1.03174266375653e-47,0.415476411455108,1,1,3.77060673896462e-43,"Upregulated in Hotspots"
"FCHSD2",1.1023697538227e-47,-0.394281893926939,1,1,4.02872050232044e-43,"Upregulated in Coldspots"
"LINC00115",1.13534202907897e-47,0.523496646810924,0.54,0.156,4.149220979472e-43,"Upregulated in Hotspots"
"AL807757.2",1.13713281070078e-47,1.10414350363039,0.219,0.003,4.15576556998708e-43,"Upregulated in Hotspots"
"TMEM234",1.16752261808682e-47,0.565897942253743,0.895,0.4,4.26682816006011e-43,"Upregulated in Hotspots"
"BCHE",1.17721965701891e-47,1.05005525474414,0.282,0.028,4.30226695854132e-43,"Upregulated in Hotspots"
"FAM71D",1.17901299821129e-47,2.43957325502144,0.238,0.012,4.30882090326297e-43,"Upregulated in Hotspots"
"MAP1LC3C",1.19340560422053e-47,2.85642744956516,0.218,0.003,4.36142012118435e-43,"Upregulated in Hotspots"
