"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","significance"
"ZC3H12C",1.01016622842361e-22,4.93198157657135,0.492,0.057,2.23075008222786e-18,"Upregulated in Hotspots"
"SCN9A",1.33794367087684e-22,3.80305478462398,0.523,0.088,2.95458100839734e-18,"Upregulated in Hotspots"
"ATRNL1",2.00117602480232e-22,3.9205655325056,0.472,0.036,4.41919701557096e-18,"Upregulated in Hotspots"
"LRMDA",3.19057339370983e-22,3.79358328978242,0.627,0.212,7.04574322532942e-18,"Upregulated in Hotspots"
"STS",3.26066282135651e-22,-2.305103472246,0.233,0.705,7.20052170840159e-18,"Upregulated in Coldspots"
"TRPV6",3.29694381521245e-22,-3.16349873228288,0.036,0.477,7.28064102713366e-18,"Upregulated in Coldspots"
"FNDC3A",4.3420503803829e-22,-2.3122072478155,0.798,0.927,9.58854985499955e-18,"Upregulated in Coldspots"
"FRMD4B",4.42170664324949e-22,3.66463286844679,0.585,0.166,9.76445478028784e-18,"Upregulated in Hotspots"
"LIFR",4.49165443123448e-22,-2.55892976549282,0.415,0.85,9.9189204804951e-18,"Upregulated in Coldspots"
"CAMK2D",5.84947576664918e-22,1.91036278751532,0.534,0.062,1.29173973354914e-17,"Upregulated in Hotspots"
"PSD3",6.98563007304295e-22,2.62570884306447,0.725,0.316,1.54263668903008e-17,"Upregulated in Hotspots"
"TCL6",7.23745430342097e-22,-4.50250034052918,0.031,0.451,1.59824703382445e-17,"Upregulated in Coldspots"
"ITSN1",7.2667809259794e-22,2.27817789209434,0.788,0.42,1.60472323188403e-17,"Upregulated in Hotspots"
"PRKCA",7.72155141422343e-22,2.29879159608943,0.834,0.58,1.70515019880296e-17,"Upregulated in Hotspots"
"PSG1",8.12105375755819e-22,-3.59560974492066,0.104,0.544,1.79337230128158e-17,"Upregulated in Coldspots"
"EFHD1",9.32750979990863e-22,-3.05311133645956,0.093,0.544,2.05979398911382e-17,"Upregulated in Coldspots"
"HOPX",9.67774965162768e-22,-3.47925305955004,0.078,0.518,2.13713745556894e-17,"Upregulated in Coldspots"
"DDX60L",9.88973404401244e-22,2.52756018967623,0.627,0.166,2.18394996893927e-17,"Upregulated in Hotspots"
"PCED1B",1.07160400215884e-21,3.01252709787616,0.539,0.083,2.36642311796737e-17,"Upregulated in Hotspots"
"RAI14",1.10840193212595e-21,-1.74339186332564,0.373,0.813,2.44768398671373e-17,"Upregulated in Coldspots"
"ABCC5",1.14124700203146e-21,2.86899398784999,0.513,0.062,2.52021575458608e-17,"Upregulated in Hotspots"
"CHSY3",1.30213236977248e-21,3.78135971352466,0.492,0.057,2.87549891216856e-17,"Upregulated in Hotspots"
"SLC2A11",1.30431093309195e-21,-3.32192809488736,0.093,0.528,2.88030983354696e-17,"Upregulated in Coldspots"
"KLF6",1.30875625646167e-21,2.37586690199817,0.601,0.124,2.8901264411443e-17,"Upregulated in Hotspots"
"PLXND1",1.37823814295492e-21,3.16227142889888,0.492,0.052,3.04356329108734e-17,"Upregulated in Hotspots"
"DYSF",1.42908380758896e-21,-2.80427552912563,0.124,0.57,3.1558457722987e-17,"Upregulated in Coldspots"
"BMP2K",1.47593247004902e-21,2.82047584379105,0.813,0.482,3.25930167360926e-17,"Upregulated in Hotspots"
"RBBP6",1.66143399098874e-21,-2.54516149266318,0.415,0.777,3.66894468230044e-17,"Upregulated in Coldspots"
"NAV3",2.62293944669472e-21,3.82143010726933,0.503,0.073,5.79223718013596e-17,"Upregulated in Hotspots"
"PLXDC2",2.65455716997388e-21,2.04622984303264,0.699,0.259,5.86205859845331e-17,"Upregulated in Hotspots"
"MICU3",3.22023353163157e-21,-2.67060752780133,0.259,0.658,7.111241707902e-17,"Upregulated in Coldspots"
"MIR100HG",3.30096851035358e-21,-2.7044842821607,0.15,0.601,7.28952876141381e-17,"Upregulated in Coldspots"
"SCN1A-AS1",4.40966953319519e-21,4.23266075679027,0.446,0.036,9.73787323015493e-17,"Upregulated in Hotspots"
"LINC00474",4.50233948929153e-21,-4.91753783980803,0.021,0.42,9.94251629420248e-17,"Upregulated in Coldspots"
"CRYBG1",4.75857843621972e-21,-1.80649232410013,0.409,0.819,1.0508368760704e-16,"Upregulated in Coldspots"
"SECISBP2L",5.03061027357872e-21,-1.58496250072116,0.534,0.87,1.11090966671439e-16,"Upregulated in Coldspots"
"SLC26A7",5.51179872931354e-21,-3.81574270755032,0.021,0.43,1.21717051339431e-16,"Upregulated in Coldspots"
"CNTLN",5.99900279021673e-21,2.38404980679516,0.544,0.088,1.32475978616356e-16,"Upregulated in Hotspots"
"DOCK2",6.14866998917497e-21,3.67161688297534,0.477,0.057,1.35781079370951e-16,"Upregulated in Hotspots"
"LINC01483",6.65204324295983e-21,-3.29314519425833,0.047,0.466,1.46897070934282e-16,"Upregulated in Coldspots"
"CCSAP",7.09937624553976e-21,-2.67677081224746,0.192,0.622,1.56775525630254e-16,"Upregulated in Coldspots"
"EDA",9.65608891280508e-21,3.99177949319503,0.44,0.031,2.13235411461475e-16,"Upregulated in Hotspots"
"FMNL2",1.21405234289008e-20,1.38482798870082,0.938,0.705,2.68099178880416e-16,"Upregulated in Hotspots"
"PAM",1.43255203749611e-20,-2.52356195605701,0.228,0.642,3.16350466440266e-16,"Upregulated in Coldspots"
"FAM107B",1.47188206792521e-20,-3.31146109583629,0.264,0.653,3.25035717059925e-16,"Upregulated in Coldspots"
"AL109761.1",1.52255614004802e-20,-2.48698734115786,0.041,0.466,3.36226072406804e-16,"Upregulated in Coldspots"
"KATNBL1",1.60202735704556e-20,-2.38573112976681,0.575,0.876,3.5377570125637e-16,"Upregulated in Coldspots"
"HNMT",1.61400159849801e-20,3.13484254228687,0.513,0.083,3.56419972996315e-16,"Upregulated in Hotspots"
"FKBP5",1.67326598735873e-20,4.22881869049588,0.446,0.041,3.69507327988427e-16,"Upregulated in Hotspots"
"NAV2",1.67824403196673e-20,2.93814152959296,0.725,0.352,3.70606629579214e-16,"Upregulated in Hotspots"
"TLK1",1.89521917352435e-20,-1.48319566333213,0.731,0.938,4.18521250089382e-16,"Upregulated in Coldspots"
"SLC41A2",1.91591577387824e-20,-2.69696752623429,0.155,0.58,4.23091680345532e-16,"Upregulated in Coldspots"
"ATP1B1",2.31640016390586e-20,2.57543972660265,0.534,0.088,5.1153064819533e-16,"Upregulated in Hotspots"
"ADAMTS9",2.76262622272301e-20,2.98641093525205,0.456,0.041,6.10070748763921e-16,"Upregulated in Hotspots"
"CD200",2.81177490514446e-20,-4.55896729218821,0.026,0.415,6.2092425230305e-16,"Upregulated in Coldspots"
"SH3TC2-DT",2.92408891009153e-20,-3.67024768866613,0.062,0.472,6.45726554015512e-16,"Upregulated in Coldspots"
"BRWD1",2.99672099246673e-20,-1.50758765679195,0.751,0.943,6.61765896766427e-16,"Upregulated in Coldspots"
"KYNU",3.00709091719995e-20,-2.68736102038752,0.326,0.689,6.64055887245265e-16,"Upregulated in Coldspots"
"APC",3.10766280548392e-20,2.67161688297534,0.56,0.119,6.86265177335014e-16,"Upregulated in Hotspots"
"FRMD6-AS2",3.31771513068127e-20,-3.38801728534513,0.047,0.461,7.32651032308344e-16,"Upregulated in Coldspots"
"FLI1",3.37018631160831e-20,3.25815218445405,0.477,0.062,7.44238243192463e-16,"Upregulated in Hotspots"
"SP100",3.4709114834978e-20,2.20645087746743,0.606,0.145,7.66481382900819e-16,"Upregulated in Hotspots"
"MKNK1",3.66827867022615e-20,2.92688207079599,0.549,0.124,8.1006597874604e-16,"Upregulated in Hotspots"
"FGF13",3.87768703824434e-20,3.56228706275326,0.472,0.062,8.56309628655498e-16,"Upregulated in Hotspots"
"PTPRE",4.24363730234538e-20,3.64081573545467,0.456,0.052,9.3712242547693e-16,"Upregulated in Hotspots"
"PMP22",4.6231534045198e-20,2.27117479442273,0.575,0.119,1.02093096632011e-15,"Upregulated in Hotspots"
"APBB2",4.87523959768453e-20,-1.56718258327968,0.596,0.896,1.07659916035668e-15,"Upregulated in Coldspots"
"GLRX",5.14243511935679e-20,-2.40867359376398,0.197,0.622,1.13560394740756e-15,"Upregulated in Coldspots"
"MRC1",5.16689850068108e-20,3.38082178394093,0.508,0.093,1.1410061959054e-15,"Upregulated in Hotspots"
"ZNF516",5.50121015928685e-20,3.85798099512757,0.409,0.021,1.21483223947531e-15,"Upregulated in Hotspots"
"FCHSD2",6.10073890349214e-20,2.45301137012701,0.829,0.642,1.34722617205817e-15,"Upregulated in Hotspots"
"SYK",6.24635579500731e-20,2.93288580414146,0.497,0.073,1.37938275021146e-15,"Upregulated in Hotspots"
"TCF4",6.3404397398409e-20,2.09174256862758,0.72,0.295,1.40015930774907e-15,"Upregulated in Hotspots"
"CREB3L2",6.61580376664855e-20,-1.58096611301086,0.56,0.865,1.460967945789e-15,"Upregulated in Coldspots"
"COLEC12",7.09736307025586e-20,2.35096529636807,0.839,0.57,1.5673106868046e-15,"Upregulated in Hotspots"
"TBC1D1",7.12302945265063e-20,-1.85244281158614,0.451,0.793,1.57297859402884e-15,"Upregulated in Coldspots"
"AC078881.1",1.04402054122306e-19,-1.82569451276054,0.259,0.72,2.30551056118288e-15,"Upregulated in Coldspots"
"KIF2A",1.12820599200299e-19,-1.75861058820619,0.451,0.793,2.4914172921402e-15,"Upregulated in Coldspots"
"LNPEP",1.14259765385375e-19,-1.94341647163363,0.534,0.834,2.52319839900524e-15,"Upregulated in Coldspots"
"KIRREL1",1.1535184506546e-19,2.88173711838018,0.466,0.052,2.54731479458056e-15,"Upregulated in Hotspots"
"ATP10D",1.17295526315078e-19,-1.49398884067367,0.389,0.819,2.59023710761587e-15,"Upregulated in Coldspots"
"MAOA",1.21599838280544e-19,-2.876516946565,0.109,0.523,2.68528922874925e-15,"Upregulated in Coldspots"
"FYB1",1.21701381099521e-19,3.02718482932623,0.513,0.093,2.68753159882072e-15,"Upregulated in Hotspots"
"ROR1",1.25419362671974e-19,4.42961596420174,0.43,0.041,2.76963578588521e-15,"Upregulated in Hotspots"
"RGL1",1.29424039014913e-19,3.16201980335697,0.58,0.171,2.85807105356632e-15,"Upregulated in Hotspots"
"ACOXL",1.33573339432982e-19,-3.42084312096005,0.026,0.415,2.94970005469855e-15,"Upregulated in Coldspots"
