"cell","orig.ident","nCount_RNA_raw","nFeature_RNA_raw","sample_id","gestational_week","tile","sample","sample_stage","x_pixel","y_pixel","x_um","y_um","x","y","n_genes","n_counts","leiden","predicted.celltype","predicted.celltype.score","week","spatial_x_use","spatial_y_use","celltype_author","predicted.id","prediction.score.max","celltype_final_conservative","celltype_final_source","celltype_final_refined","celltype_refined_source","lineage_EVT","lineage_vCTB","lineage_STB","lineage_Endothelial","lineage_Fibroblast","lineage_Macrophage","lineage_NK","celltype_lineage_rescue","lineage_score_max","lineage_label_max","niche_cluster","dataset","permissiveness_global","permissiveness_global_pct","label"
"W8-2_W8-2_tile_0_cell_812","W8-2",488,186,"W8-2",8,"tile_W8-2_0","W8-2","8w_2d",1078,16558,153.05444,2350.90484,153.05444,2350.90484,186,488,6,"EVT3",0.967903429887417,8,153.05444,2350.90484,"EVT3","EVT3",0.967903429887417,"EVT3","author","EVT3","author",4.01931828649565,7.67545585191443,0.0642406375985577,0.04456339732293,-4.95231500905734,-0.828229446596138,-0.0825823576939175,NA,7.67545585191443,"vCTB","N7","starmap",4.82135221807995,0.984221087194455,"EVT3"
"W8-2_W8-2_tile_0_cell_821","W8-2",367,155,"W8-2",8,"tile_W8-2_0","W8-2","8w_2d",815,16561,115.7137,2351.33078,115.7137,2351.33078,155,367,1,"EVT3",0.475618865608846,8,115.7137,2351.33078,"EVT3","EVT3",0.475618865608846,"EVT3","author","EVT3","author",5.40521871239767,4.94989341929433,0.634101348949847,-0.0359505902991541,-4.94383836597714,-0.855165260521829,-0.0899857283360537,NA,5.40521871239767,"EVT","N7","starmap",5.32958425671481,0.991335279095221,"EVT3"
"W8-2_W8-2_tile_0_cell_823","W8-2",211,108,"W8-2",8,"tile_W8-2_0","W8-2","8w_2d",889,16514,126.22022,2344.65772,126.22022,2344.65772,108,211,1,"EVT3",0.782871614558734,8,126.22022,2344.65772,"EVT3","EVT3",0.782871614558734,"EVT3","author","EVT3","author",2.56645044918231,5.56945506365284,0.490762873980687,0.022969246450029,-5.02408179066981,-0.841629907538772,-0.0892409238204898,NA,5.56945506365284,"vCTB","N7","starmap",3.81186279251404,0.953210507114192,"EVT3"
"W8-2_W8-2_tile_0_cell_824","W8-2",283,142,"W8-2",8,"tile_W8-2_0","W8-2","8w_2d",655,16478,92.9969,2339.54644,92.9969,2339.54644,142,283,1,"EVT3",0.687889076844384,8,92.9969,2339.54644,"EVT3","EVT3",0.687889076844384,"EVT3","author","EVT3","author",3.50272907694573,4.78561684863963,1.39955101899038,-0.142954627487014,-4.93751526434875,-0.801454584281754,-0.0941000014943121,NA,4.78561684863963,"vCTB","N7","starmap",4.31698840855101,0.974188252462605,"EVT3"
"W8-2_W8-2_tile_0_cell_825","W8-2",826,256,"W8-2",8,"tile_W8-2_0","W8-2","8w_2d",1248,16454,177.19104,2336.13892,177.19104,2336.13892,256,826,6,"EVT3",0.768168756291201,8,177.19104,2336.13892,"EVT3","EVT3",0.768168756291201,"EVT3","author","EVT3","author",2.90788046614315,8.89470795286926,0.299723548584266,-0.00486536023758954,-4.64300026340386,-0.85503999145841,-0.094776252736446,NA,8.89470795286926,"vCTB","N7","starmap",4.11162424521148,0.96716526815031,"EVT3"
"W8-2_W8-2_tile_0_cell_826","W8-2",319,146,"W8-2",8,"tile_W8-2_0","W8-2","8w_2d",1804,16470,256.13192,2338.4106,256.13192,2338.4106,146,319,1,"EVT3",0.840339468450388,8,256.13192,2338.4106,"EVT3","EVT3",0.840339468450388,"EVT3","author","EVT3","author",2.70734554415758,5.70766405264747,0.620104900644007,0.0221782151601596,-4.99890735918779,-0.844242632375269,-0.0888903817362983,NA,5.70766405264747,"vCTB","N7","starmap",3.88299273497203,0.956858810653046,"EVT3"
"W8-2_W8-2_tile_0_cell_827","W8-2",223,132,"W8-2",8,"tile_W8-2_0","W8-2","8w_2d",481,16446,68.29238,2335.00308,68.29238,2335.00308,132,223,6,"EVT3",0.650070390171003,8,68.29238,2335.00308,"EVT3","EVT3",0.650070390171003,"EVT3","author","EVT3","author",4.17306340591099,7.53235384873595,0.428217420535097,0.0434979001585766,-4.88703155547802,-0.816772149150621,-0.0853345324440514,NA,7.53235384873595,"vCTB","N7","starmap",5.26239810025877,0.990788033564393,"EVT3"
"W8-2_W8-2_tile_0_cell_828","W8-2",282,92,"W8-2",8,"tile_W8-2_0","W8-2","8w_2d",960.5,16409.5,136.37179,2329.82081,136.37179,2329.82081,92,282,1,"EVT3",0.625206206160122,8,136.37179,2329.82081,"EVT3","EVT3",0.625206206160122,"EVT3","author","EVT3","author",3.34992663527135,6.91951551577515,0.00977821291680547,0.0413281713551783,-5.13989770643869,-0.842490392781884,-0.0871738181368826,NA,6.91951551577515,"vCTB","N7","starmap",4.23396935733509,0.970813571689164,"EVT3"
"W8-2_W8-2_tile_0_cell_830","W8-2",300,124,"W8-2",8,"tile_W8-2_0","W8-2","8w_2d",1066.5,16403,151.42167,2328.89794,151.42167,2328.89794,124,300,1,"EVT3",0.982406740059897,8,151.42167,2328.89794,"EVT3","EVT3",0.982406740059897,"EVT3","author","EVT3","author",3.20780526515899,6.56083821817586,0.0360099687148258,0.0342403539328369,-5.09105474256668,-0.833911038509493,-0.0866416267168361,NA,6.56083821817586,"vCTB","N7","starmap",4.10123850860182,0.966709230207953,"EVT3"
"W8-2_W8-2_tile_0_cell_831","W8-2",419,174,"W8-2",8,"tile_W8-2_0","W8-2","8w_2d",606,16388,86.03988,2326.76824,86.03988,2326.76824,174,419,6,"EVT3",0.930470304107597,8,86.03988,2326.76824,"EVT3","EVT3",0.930470304107597,"EVT3","author","EVT3","author",4.51464710262079,9.65177874647638,0.838714962692444,0.12428013053295,-4.77339633074131,-0.832622457079752,-0.0848978350581871,NA,9.65177874647638,"vCTB","N7","starmap",5.20170578886062,0.98996716526815,"EVT3"
