gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
GPHN,6.073266427318335e-6,0.37191201072188096,1,1,0.22195359485277585
AC009041.2,6.0738431470221365e-6,-1.2688429465646944,0.643,0.374,0.221974671651071
DLG1,6.184030770221746e-6,-1.3190936165404619,1,1,0.22600158852852392
CNBP,6.221251607112235e-6,-0.4464762853377853,1,1,0.22736186123352373
ACADVL,6.241679230954885e-6,-0.8594310132324725,1,1,0.22810840917447722
DHX36,6.288945499936139e-6,-0.9364393501467043,1,1,0.22983580224066613
LINC00523,6.3319659877734775e-6,-0.5539544039092856,0.035,0.101,0.2314080289891695
FBP2,6.367655980312297e-6,-0.8828905896505894,0.379,0.408,0.2327123554564932
SMC3,6.441555050796408e-6,-0.6132009249713041,1,1,0.23541307088640553
LRCOL1,6.456191756930585e-6,-0.5970548009825309,0.219,0.125,0.23594798394878516
PTPRB,6.48570359422989e-6,-10.552724616510602,0.493,0.442,0.23702652355472556
SLC14A1,6.5240842802012665e-6,-1.2057716777053518,0.292,0.174,0.2384291841042355
AC093627.22,6.57599669947373e-6,0.3923324619502795,0.044,0.114,0.24032637537896692
AC016687.2,6.668630688648748e-6,-0.4466439279828185,0.173,0.244,0.24371177714735714
CCDC66,6.708489477521322e-6,-0.42576667315194827,1,0.996,0.24516845644549423
CES5A,6.806592958907474e-6,0.35137536588728757,0.158,0.087,0.24875374627623253
P3H4,6.88877683172116e-6,-0.4609560090773992,0.958,0.934,0.2517572380920815
FAM13A,6.911990601227805e-6,-3.916039542665814,1,1,0.2526056085124713
FPGT,6.96203765949494e-6,-1.717655389927003,0.996,0.809,0.25443462830390207
RPA1,7.042972473021673e-6,-0.8827419988797837,1,1,0.2573924719990501
PTDSS2,7.080938306444835e-6,-0.6421922484734763,1,0.964,0.25877997134733294
SOCS5,7.081488698780629e-6,-0.4717451638479009,0.989,0.77,0.25880008598563686
EGFL8,7.20673688498405e-6,-1.1421657544317636,0.689,0.607,0.2633774061986271
FMO4,7.235668630034636e-6,0.49048144958368134,0.818,0.505,0.2644347457532458
SETD9,7.242834271176912e-6,-0.49273373824588074,0.991,0.867,0.26469662127443144
ZCWPW1,7.306803704066209e-6,-1.042331263086277,0.408,0.416,0.2670344481688037
CAPZA2,7.312991380543187e-6,-0.4382474642672559,1,1,0.26726058299333133
SMURF1,7.322879950177182e-6,-0.44547096120253604,1,1,0.26762197065917526
AP005436.1,7.339339166067941e-6,-1.2014991624826852,0.296,0.352,0.26822348916311894
IL6R-AS1,7.349215460384887e-6,-0.6269513413368974,0.105,0.185,0.2685844282152261
SSX2IP,7.376302997551449e-6,-1.9003626042859922,0.943,0.659,0.26957436934851525
AC011468.5,7.436605575896762e-6,-0.4378470652917992,0.09,0.163,0.27177818737672305
AC084125.2,7.437355826513697e-6,-2.1161296497735025,0.184,0.247,0.2718056060357696
LINC02267,7.487561443862196e-6,0.2508631032824795,0.982,0.947,0.2736404205273878
MYBPC3,7.527692674381906e-6,-0.6444147839325982,0.116,0.191,0.27510705647796113
PGBD4,7.5577067858773525e-6,-0.41456344165218617,0.708,0.46,0.2762039521966737
C19orf25,7.569646332415639e-6,-0.39651034768729376,1,0.998,0.27664029486446196
TAMM41,7.597551097772682e-6,-2.050213899050439,1,0.999,0.2776601024192004
AL078600.1,7.616539349649801e-6,-0.3746876866390516,0.987,0.581,0.2783540470723016
PARD3-AS1,7.670440656853052e-6,0.6366341384216581,0.195,0.115,0.28032392424535163
AC127070.2,7.682073008565815e-6,-1.1529793535422481,0.842,0.551,0.2807490401710463
MAGEB10,7.685681207822694e-6,-0.886631621924785,0.89,0.823,0.2808809054210882
GLOD5,7.685696849062849e-6,-4.3237921977986655,0.246,0.28,0.28088147704585087
ZNF404,7.709934574470547e-6,-0.6356269142156039,0.667,0.407,0.2817672689586006
MEP1B,7.834163124334517e-6,0.8710793312124974,0.042,0.107,0.2863073255419293
CHAC1,7.843144039987483e-6,-0.6476320508758979,0.039,0.104,0.28663554208538256
RNMT,7.848347163294138e-6,0.2695338562882297,1,1,0.28682569542974756
ZNF721,7.87530396649737e-6,-0.797852194382723,1,1,0.2878108587596129
MUC16,7.91708800873095e-6,-3.4865280372499496,0.423,0.416,0.2893378983670813
USP25,7.973766313504878e-6,-6.861543725313898,1,1,0.2914092636933493
CASP8AP2,7.976206287760312e-6,-0.39579001653809853,1,1,0.2914984349924884
LINC00701,8.008322043359653e-6,-2.448617966068521,0.219,0.26,0.2926721373966219
PHPT1,8.110021448116885e-6,-5.735004513478942,1,1,0.29638884384287967
CD1D,8.133001959629377e-6,-1.1037734699062876,0.059,0.129,0.2972286896166152
ATXN7L2,8.240022389694883e-6,-0.6642428147947221,0.829,0.522,0.3011398582537892
CYP1B1,8.24779721307398e-6,-1.5058317748346983,0.353,0.395,0.3014239969490017
AC110285.2,8.251121490681396e-6,-0.7693602101655959,0.112,0.188,0.3015454859984423
AP001033.2,8.347910238374662e-6,0.6390601737228607,0.452,0.325,0.3050827275716404
OPRM1,8.356178859948773e-6,0.5267983684228703,0.474,0.327,0.30538491261568784
SYNPO,8.393354359440978e-6,-1.0837975281750638,0.914,0.734,0.30674352842013
HOOK2,8.397437138752106e-6,-0.7356422737825639,1,1,0.3068927376728345
HPS1,8.416395586833864e-6,-0.7223162868439057,1,0.846,0.3075855931164304
MED12,8.473569333820653e-6,-1.0085024323394118,0.996,0.836,0.3096750648738096
AL390783.1,8.487320369441794e-6,0.36325107823594927,0.217,0.136,0.3101776102216198
AC130456.2,8.504026376107224e-6,-2.0598562855800067,0.305,0.335,0.3107881479412146
CEP83-DT,8.592105700198887e-6,-2.1643869661252007,0.366,0.382,0.31400709491946854
DENND4A,8.649107246049562e-6,-0.9188533949309718,1,1,0.31609027341412727
PPT2,8.722194978833548e-6,-1.3599871015296197,0.706,0.642,0.3187613376964509
AL031587.2,8.770075337828568e-6,0.8237568864029203,0.274,0.176,0.32051117329628287
SSC5D,8.791054319660328e-6,-2.4184405852044932,0.318,0.355,0.32127787116630635
ZNF8,8.808514697480067e-6,0.5329226030265337,1,0.922,0.3219159781341065
AC100793.3,8.863978609704188e-6,-0.28284886230670647,0.518,0.314,0.32394296227024927
SP140,8.888042506206143e-6,-0.8511014436633824,0.664,0.385,0.3248224014318097
SLC25A23,8.929390521624013e-6,-1.131672781962596,0.649,0.548,0.32633350600327116
AL157813.1,8.934281538517681e-6,1.1782766072264934,0.064,0.141,0.32651225310666715
AL139340.1,8.937363092170721e-6,1.653914340405005,0.164,0.102,0.3266248715664712
ACP5,9.004473591680562e-6,-5.95664547290047,0.941,0.752,0.3290774918815578
PLCB2,9.223912273115987e-6,-0.3912407865082379,0.083,0.164,0.33709709793329684
CNTN4,9.236418516246865e-6,-1.8417999202867987,0.783,0.726,0.33755415109475795
AC005703.3,9.284370406102588e-6,0.7950286714536512,0.044,0.11,0.33930660086142517
DENND2C,9.404569230315509e-6,-1.591945249283297,0.542,0.506,0.3436993870911106
NUMB,9.442358779275016e-6,-0.2777153451109782,1,1,0.34508044394738474
LINC02280,9.461953845131668e-6,0.26966514109452167,0.132,0.072,0.34579656522418195
PIK3R4,9.54437414354141e-6,-0.592223621449451,1,0.98,0.34880869744986437
PPP1R3A,9.575870669957927e-6,-0.8374822795734413,0.077,0.148,0.34995976950428237
GIGYF2,9.693816351142237e-6,-2.4293690001397397,1,1,0.3542702123688442
LCN15,9.792396165238891e-6,0.8268094691594641,0.2,0.115,0.35787291025482054
AC090802.1,9.907119833741637e-6,1.6697856812339804,0.101,0.052,0.36206560144392186
CCDC58,9.918821979025703e-6,-0.5731783749886898,0.991,0.958,0.3624932680454733
ULBP1,9.9547779949842e-6,-0.5449992423281689,0.039,0.103,0.36380731660469257
AC090771.2,9.964272858118205e-6,-3.366434633734972,0.3,0.327,0.3641543158727879
KMT2D,1.0001225317979743e-5,-0.8320485475963573,1,1,0.3655047804708877
VEGFD,1.0069170056942923e-5,-1.5078951403587828,0.105,0.177,0.36798788890103606
CUTC,1.0122841125441495e-5,-0.880793978474339,1,0.916,0.36994935177038485
AC010319.4,1.0145514213055218e-5,-2.2982782163140794,0.45,0.426,0.370777962430316
LRRC40,1.021089128154323e-5,-0.3240261908588775,0.989,0.987,0.37316723277527886
TG,1.0245691818911175e-5,-0.5711922599625128,0.621,0.385,0.3744390532139278
PGM5,1.0301963300065944e-5,-0.7635830380335262,0.564,0.376,0.37649555076421
PKNOX2,1.0339048911428842e-5,-2.989477041584183,0.509,0.443,0.37785088151707846
PSG3,1.034970869609146e-5,-5.083068751971768,0.868,0.669,0.3782404540073585
AC009271.1,1.0378258713158708e-5,3.786139853324454,0.963,0.721,0.3792838429310981
LINC01907,1.0402774979658985e-5,1.113962483750642,0.147,0.08,0.38017981440661724
NDUFA6,1.0450436120290912e-5,-0.5821598999878801,1,1,0.38192163845215166
TNFRSF14-AS1,1.0571463938001915e-5,-0.5040104107668029,0.105,0.19,0.386344721078218
OGFR-AS1,1.0642651186007093e-5,-0.7717614559121504,0.042,0.109,0.38894633024381525
AC092171.3,1.0740243632679083e-5,1.8534697206503399,0.169,0.106,0.39251294379988977
AC011466.1,1.0756945914632377e-5,0.5930597082856099,0.156,0.085,0.39312334539615484
