gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
XYLB,1.4315611457846624e-64,-1.4847179455101163,0.969,0.981,5.231783363384627e-60
EHF,1.5876715206532997e-64,-5.727803195404708,0.016,0.445,5.802304339379549e-60
RTF1,1.6222131493800126e-64,-0.9317833378388691,1,1,5.928540175724194e-60
MIR205HG,1.635412847361447e-64,-3.4545601481134307,0.71,0.841,5.976779791967145e-60
LINC02451,1.636016891318732e-64,2.747986242224698,0.223,0.037,5.978987331013438e-60
TMEM237,1.7324209063714295e-64,-1.0999634169185337,0.927,0.951,6.331305444425026e-60
C1QTNF6,1.8035813866663977e-64,1.314410243300824,0.873,0.758,6.591368535711017e-60
RAB11FIP1,1.8912657621722962e-64,-0.7559832563736655,1,0.991,6.911819854434874e-60
AP000695.1,1.906302094892586e-64,1.3882150799150343,0.53,0.176,6.966771635994445e-60
PET100,1.9517712799682604e-64,-1.7655568325691018,1,1,7.132943319772004e-60
AC138035.1,2.0752197753993058e-64,1.5071290264330592,0.399,0.109,7.584098191174303e-60
MRPL32,2.2170018176706135e-64,-0.7670995153698976,1,1,8.102254842859024e-60
AL023574.1,2.3272585435396454e-64,1.3041267646889285,0.964,0.799,8.505199073219988e-60
TRAFD1,2.629000940310956e-64,-0.9788507039985492,0.924,0.96,9.60794683646042e-60
ZNF143,2.68605885204751e-64,-1.243370344037776,1,1,9.816470680692829e-60
VIM,2.6884680477853273e-64,-38.1557550505415,1,1,9.825275327436257e-60
MRPL50,2.724446494395578e-64,-1.2089256380061117,1,0.962,9.95676215841808e-60
ZNF655,2.7953773243935163e-64,0.5472334058041852,1,0.998,1.0215985969728545e-59
IFT122,2.9246105642607507e-64,-0.5074451145234864,0.993,0.979,1.0688281768147339e-59
AC012615.2,3.2018007817829956e-64,1.4216981830653372,0.532,0.181,1.1701301137104136e-59
BIRC5,3.290616026240581e-64,-1.9218952830380154,0.851,0.961,1.2025885329498828e-59
LINC00937,3.299115079626444e-64,0.7928123916273737,0.938,0.479,1.2056945970002801e-59
AL356113.1,3.5938599176142984e-64,1.4583181140945962,0.514,0.169,1.3134120454913215e-59
ARL3,3.6459847225872155e-64,-1.784879145108143,1,0.998,1.3324615767167238e-59
AC006017.1,3.6840656400397654e-64,0.8978729065767679,0.702,0.338,1.3463786288089327e-59
ENC1,3.708902072393477e-64,-1.4792327478632499,0.984,0.938,1.3554553513769199e-59
MSRB2,3.743565417897043e-64,-1.1307790024043185,0.987,0.997,1.3681234176246534e-59
UCK1,3.836324732177809e-64,-1.7442452421038763,0.915,0.925,1.402023236621702e-59
ZSCAN4,3.858244969207963e-64,0.966659701073028,0.448,0.135,1.4100342064467422e-59
DIAPH3,3.991099090493532e-64,-9.452392289534464,1,1,1.4585870736117664e-59
ATP6V0E1,4.0251889010247684e-64,2.196716002140499,1,1,1.471045535768512e-59
CU638689.4,4.0295648817089215e-64,1.233161293377746,0.722,0.326,1.4726447816693425e-59
MPC2,4.207564019743505e-64,-1.4338938046735537,1,0.998,1.5376963466554614e-59
ARFGEF1,4.5799382653363386e-64,-1.0629393074713898,1,1,1.6737842384498183e-59
TECTA,4.884297300328631e-64,1.0991304375968722,0.739,0.34,1.7850152913781014e-59
AC003965.1,5.007685007610648e-64,1.6184904591275284,0.22,0.038,1.8301085628813873e-59
PGLYRP1,5.4481970365574916e-64,2.6037645919425163,0.232,0.041,1.9910980889803009e-59
APOBEC3F,5.78011285506701e-64,-1.8262185742290158,0.45,0.783,2.1124000440127897e-59
SART3,5.8323642500965e-64,-1.0050274359097982,1,1,2.131495838840267e-59
AGPAT3,5.835487844881177e-64,-1.1550277415405643,0.63,0.95,2.132637387790275e-59
LKAAEAR1,5.8460185170648656e-64,-2.9083548357954765,0.049,0.48,2.136485927246526e-59
ZNF385D,6.026956188544973e-64,-8.711896590430058,0.679,0.822,2.202611408665646e-59
RBL2,6.186863397838193e-64,0.8431280729770346,1,1,2.261051097373946e-59
PPA1,6.612876509400685e-64,-1.0565650534479907,1,1,2.416741849125574e-59
STMN3,6.659358827161529e-64,-2.2311857269742377,0.334,0.717,2.4337292769744522e-59
P3H2,6.799740787529268e-64,-1.8022835003110707,0.833,0.966,2.4850332682104463e-59
AC012462.3,6.810191025404078e-64,1.8015209577514737,0.372,0.096,2.4888524121441743e-59
TTC4,6.918543328952098e-64,1.5165966035355956,0.982,0.72,2.5284508449988337e-59
SLC16A3,6.987516069768799e-64,1.9168636320177135,0.998,0.984,2.553657622857705e-59
SREBF2,7.137927016945838e-64,-4.900221662962491,1,1,2.608626807613026e-59
TAP2,7.505574707993397e-64,0.9755848218444645,0.949,0.787,2.7429873327832666e-59
KRT14,7.542413876487205e-64,2.4481723196867686,0.724,0.565,2.756450575301014e-59
RPL22,8.181461936109659e-64,-15.895981681692064,1,1,2.989997079170636e-59
AL928970.1,8.407753060508226e-64,0.9162885001740397,0.584,0.212,3.072697433493336e-59
SMARCB1,8.558861923906554e-64,0.7227412445069695,1,1,3.127921678710889e-59
SNHG29,8.804969577913993e-64,-3.233576946091126,1,1,3.217864181944448e-59
TM9SF2,8.919698681646984e-64,0.6211917957530453,1,1,3.259793080194707e-59
VIPAS39,9.16020660273967e-64,0.8053448188553247,0.998,0.762,3.3476891050372398e-59
OAS3,9.248545509797653e-64,0.9983431092332182,0.962,0.842,3.3799734420106503e-59
C1orf122,9.285326113936653e-64,-1.5473215168338912,1,1,3.3934152815992893e-59
MLPH,9.33444690540019e-64,-2.6280711816549824,0.045,0.473,3.4113669660475532e-59
CLK2,9.631438823868508e-64,-1.1019931158293474,1,1,3.519905632570985e-59
SMOC1,1.0184104318414711e-63,-1.7969071768304192,0.624,0.902,3.7218827642078402e-59
TRIAP1,1.053540061654815e-63,-1.321055571890596,0.951,0.974,3.8502675093236865e-59
AC058791.1,1.0969618882601781e-63,1.2740101417258458,0.835,0.393,4.008956916835647e-59
CLDN2,1.1250721285725976e-63,0.7271447740783419,0.492,0.152,4.111688601081415e-59
TLR6,1.1950398921359234e-63,0.8728116414077318,0.628,0.237,4.367392789799945e-59
FAM78A,1.2266832296489917e-63,0.6682557090185404,0.882,0.696,4.483036531075205e-59
DNAJB1,1.229317356114734e-63,-0.8537887382410538,1,1,4.4926632096569075e-59
HES2,1.2317136949691463e-63,1.3017073597561515,0.699,0.414,4.5014208696342415e-59
LINC01524,1.3103330172892597e-63,1.084619060187776,0.9,0.959,4.788743044985328e-59
MYL9,1.3914875707690034e-63,-1.511598587249499,1,0.994,5.0853304761323995e-59
TLE6,1.4225706777758672e-63,3.015693243646349,0.753,0.573,5.198926798999684e-59
PRMT5-AS1,1.435557971954466e-63,1.4540103728186322,0.51,0.166,5.2463901643047914e-59
SMU1,1.4850650496983022e-63,-0.9226968928241411,1,1,5.427318730627415e-59
MZT2A,1.4953529630017216e-63,-1.5035176116687152,0.987,0.998,5.464916938586092e-59
SMIM27,1.5195839345547332e-63,-1.6798349869037112,0.842,0.912,5.553471447223728e-59
CHEK1,1.5396371369878746e-63,-1.2767436885031809,1,0.997,5.6267578808358865e-59
BOLA3,1.593370337844059e-63,-1.1692301427074727,1,0.997,5.823131236684898e-59
RNF121,1.7496133503156464e-63,0.6044271824236426,1,1,6.394136950063561e-59
SH2D3A,1.7840730074911094e-63,1.358798223788841,0.886,0.854,6.520073213177008e-59
ZNF574,1.825418901414611e-63,1.3819336915794365,0.851,0.445,6.6711759171098375e-59
SNX33,1.9567489593007988e-63,0.8669299827922439,0.98,0.735,7.1511347466606995e-59
AC245041.2,1.9573599816246255e-63,2.212339139737314,0.762,0.589,7.1533677888453564e-59
DSN1,1.968729733655336e-63,-1.6442884059802187,1,0.999,7.194919684616791e-59
HIST1H2BK,1.987485273151859e-63,0.9743316240728852,0.842,0.469,7.263463679260784e-59
SERPINE1,2.0148324494502133e-63,31.410319190966973,0.996,0.999,7.363406669760749e-59
BCL2L12,2.0464637482888345e-63,-1.2867847340971243,1,0.997,7.479006414496375e-59
DDT,2.0712102937882854e-63,-1.746108137836373,1,1,7.569445139678667e-59
AC006008.1,2.2198046589339047e-63,1.408909549081093,0.465,0.146,8.112498106539848e-59
RB1,2.2855799002175412e-63,1.0402489210965962,1,0.981,8.352880303335026e-59
AC068442.1,2.306319662441943e-63,2.0771396412978618,0.345,0.09,8.428675838360325e-59
CDCA8,2.395913996348003e-63,-3.2675025293498665,0.592,0.84,8.756107291053412e-59
AL353768.1,2.446063633687512e-63,1.3592723066947032,0.461,0.143,8.939384155674382e-59
PDRG1,2.629699770914908e-63,-1.1627401228145202,0.962,0.969,9.610500782785623e-59
