"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.13771347567618e-17,0.308348167161689,0.507,0.318,1.14670876682062e-12,"N3","AC007881.2"
3.64922673585639e-17,0.341703816144025,0.333,0.186,1.33364640288608e-12,"N3","AC012066.2"
3.8605805086355e-17,0.325308977570102,0.827,0.78,1.41088775268593e-12,"N3","UBQLN2"
4.33102422500738e-17,2.49720099254946,0.568,0.307,1.5828161132712e-12,"N3","SCN8A"
4.82592122168315e-17,0.495941793967559,0.639,0.421,1.76368116967632e-12,"N3","BLOC1S3"
5.02707046219559e-17,0.723529981681653,0.97,0.904,1.837193171114e-12,"N3","ZNF263"
5.20067650521987e-17,0.783095920236372,0.143,0.056,1.90063923559765e-12,"N3","AL162391.1"
5.30050536520512e-17,3.74084040158439,1,1,1.93712269076786e-12,"N3","GAPVD1"
5.32036229813265e-17,1.17103733740953,0.107,0.037,1.94437960547556e-12,"N3","NUTM2G"
5.84732601994503e-17,0.328420360047531,0.231,0.111,2.13696376724911e-12,"N3","AC007182.1"
6.22780458641657e-17,0.965425024559876,0.199,0.097,2.2760134641518e-12,"N3","AC007608.1"
6.58721999128627e-17,1.40188488884125,0.123,0.046,2.40736541801548e-12,"N3","PRR36"
6.72676308099462e-17,0.367016036652778,0.963,0.687,2.4583628355803e-12,"N3","BBOF1"
7.14231090665194e-17,0.349789855686099,0.822,0.684,2.61022894394502e-12,"N3","GTF2IRD2B"
7.36076875738426e-17,2.23463400588576,0.279,0.168,2.69006655007365e-12,"N3","AL672032.1"
7.63538816166019e-17,0.722630085325386,0.188,0.083,2.79042895756033e-12,"N3","AL137127.1"
7.76564953122995e-17,0.678653784429218,1,1,2.8380342776833e-12,"N3","YIPF4"
9.63698422395005e-17,1.09322975653001,0.215,0.108,3.52193225448479e-12,"N3","AC012313.5"
9.97778307992007e-17,1.18916282074061,0.168,0.074,3.64648060438759e-12,"N3","LINC01960"
1.0260170529308e-16,1.30814194118802,0.182,0.085,3.7496819216409e-12,"N3","FITM1"
1.16835484409201e-16,0.808159205730913,0.112,0.04,4.26986961321864e-12,"N3","AC120349.1"
1.25428567221619e-16,1.38455959664151,0.178,0.082,4.58391241768127e-12,"N3","AC008897.3"
1.33148413759632e-16,1.11526303186217,0.164,0.074,4.8660419292595e-12,"N3","AC073863.1"
1.35028692574292e-16,0.854785815142764,0.3,0.175,4.93475859882007e-12,"N3","AC007599.2"
1.45257039171835e-16,0.529712153175412,0.503,0.293,5.30856375357387e-12,"N3","CHI3L2"
1.56190022094828e-16,0.622738328251506,0.222,0.105,5.70812054747757e-12,"N3","AC092611.1"
1.62895155406926e-16,0.252096376276063,0.997,0.974,5.95316634950151e-12,"N3","TMEM147"
2.00393913045235e-16,1.65369735746376,0.173,0.084,7.32359594615115e-12,"N3","AC008938.1"
2.13080377356185e-16,0.978890341308666,0.118,0.043,7.78723547085913e-12,"N3","LINC02471"
2.2384983662474e-16,0.556358028303368,1,0.999,8.18081612928774e-12,"N3","MRPL43"
2.29059858877069e-16,0.45099485128058,0.135,0.053,8.37122160252136e-12,"N3","AC091231.1"
2.71989226229471e-16,0.520014849822667,0.172,0.076,9.94011826178226e-12,"N3","TMPRSS11A"
2.78323957693656e-16,1.48123256251677,0.148,0.064,1.01716273578724e-11,"N3","AL078645.1"
3.00289512962841e-16,1.64738054250068,0.128,0.05,1.097438054074e-11,"N3","SERPINA10"
3.36117994966268e-16,0.274188146751113,0.814,0.623,1.22837682440372e-11,"N3","TBC1D25"
3.40539899183385e-16,0.252007846010628,0.999,0.998,1.2445371155556e-11,"N3","TESK2"
3.49464261149423e-16,1.03789847742836,0.104,0.037,1.27715208879668e-11,"N3","AP000248.1"
3.57748480852551e-16,1.37958019485425,0.119,0.046,1.30742759812373e-11,"N3","AC087468.2"
3.98213942711514e-16,0.615750700236472,0.141,0.057,1.4553126750335e-11,"N3","FBXL16"
4.08679297596409e-16,0.325182480963601,0.826,0.787,1.49355936099584e-11,"N3","MARF1"
4.48961854696093e-16,1.23869185099478,0.25,0.138,1.64077599417234e-11,"N3","AC011912.1"
4.82866679538695e-16,0.477996622587105,0.189,0.085,1.76468456704212e-11,"N3","BX323046.1"
5.07645310971447e-16,1.83802354719711,0.141,0.061,1.85524055347625e-11,"N3","AC026333.4"
5.1370597882676e-16,0.391436630238374,0.192,0.089,1.87738987022028e-11,"N3","CCDC160"
5.62478376141475e-16,0.835884034793752,0.1,0.035,2.05563347344663e-11,"N3","AC106795.2"
5.99018643277863e-16,1.04071823448475,0.198,0.099,2.18917353372328e-11,"N3","AC020917.3"
6.66489719607432e-16,0.356270907682744,1,1,2.43575332927732e-11,"N3","PPIL4"
7.96493967355246e-16,0.258893098113064,0.865,0.878,2.91086685309648e-11,"N3","TJAP1"
9.51652971353999e-16,0.293997536660766,1,1,3.47791094911032e-11,"N3","OGDH"
1.03301414764745e-15,0.748785512570653,0.267,0.159,3.77525350399237e-11,"N3","DNAJC12"
1.05488071051125e-15,2.10555258916517,0.119,0.05,3.85516704463441e-11,"N3","AL021707.8"
1.28659950554351e-15,0.280520144858881,0.985,0.852,4.70200655295931e-11,"N3","AC010148.1"
