"from","to","z","observed","expected","sd_null","week","k","scope","density_bin","obs_minus_exp","obs_over_exp","log2_obs_over_exp","p_adj","significant"
"unknown3","EVT2",0.364243567532911,32,29.84,5.93009785805096,8,8,"density_stratified",1,2.16,1.0723860589453,0.100824370816452,0.905503394611529,FALSE
"vCTB2","EVT2",-1.92754576555774,93,113.93,10.858367345699,8,8,"density_stratified",1,-20.93,0.816290704811583,-0.292845063838412,0.308193047763463,FALSE
"vCTBp","EVT2",-0.250686355337331,1,1.31,1.23660499723716,8,8,"density_stratified",1,-0.31,0.763358778043237,-0.389566810974089,0.933599092536437,FALSE
"Endothelial_cells","EVT3",-0.0897279464193344,6,6.26,2.8976479490034,8,8,"density_stratified",1,-0.26,0.958466453521012,-0.0612001551619881,0.974417459165919,FALSE
"EVT2","EVT3",4.22559826383327,35,17.37,4.17219027815987,8,8,"density_stratified",1,17.63,2.01496833609586,1.01075716864223,0.00114550211729155,TRUE
"EVT3","EVT3",1.09827959717474,7,4.56,2.22165649364558,8,8,"density_stratified",1,2.44,1.5350877189616,0.61832109829102,0.671086427210393,FALSE
"Fibroblast1","EVT3",-0.0918432874778606,12,12.33,3.59307695717779,8,8,"density_stratified",1,-0.33,0.973236009653428,-0.039138392541596,0.974417459165919,FALSE
"Fibroblast2","EVT3",0.634887021950157,87,81.47,8.71021112130916,8,8,"density_stratified",1,5.53,1.06787774639661,0.0947464941040991,0.832857071797832,FALSE
"Hofbauer cells","EVT3",-2.20862024364151,16,27.45,5.18423211539208,8,8,"density_stratified",1,-11.45,0.582877959905906,-0.77873424169527,0.211668436262162,FALSE
"maternal macrophages","EVT3",-1.33648970649942,0,2.82,2.11000502656302,8,8,"density_stratified",1,-2.82,0,-29.8973528539863,0.566931125627976,FALSE
"STB","EVT3",-0.0412492181812909,8,8.13,3.15157488288383,8,8,"density_stratified",1,-0.130000000000001,0.984009839977366,-0.0232553510116177,0.98654342539223,FALSE
"unknown2","EVT3",1.81685170413511,3,0.93,1.13933349291628,8,8,"density_stratified",1,2.07,3.22580644814429,1.6896598782838,0.352274797341495,FALSE
"unknown3","EVT3",1.89025647658705,13,7.27,3.03133467287759,8,8,"density_stratified",1,5.73,1.78817056371552,0.838484354604577,0.324364797934466,FALSE
"vCTB2","EVT3",-2.12231907366392,17,29.08,5.69188683632904,8,8,"density_stratified",1,-12.08,0.58459422281346,-0.774492520476284,0.239487152012683,FALSE
"vCTBp","EVT3",3.69142591300166,3,0.42,0.698916911002194,8,8,"density_stratified",1,2.58,7.14285712585034,2.83650126448411,0.00685330054725369,TRUE
"Endothelial_cells","Fibroblast1",-1.55632127834601,8,16.4,5.39734315485991,8,8,"density_stratified",1,-8.4,0.487804878019036,-1.03562390686117,0.469838519515255,FALSE
"EVT2","Fibroblast1",1.86598586100243,58,45.43,6.73638544687645,8,8,"density_stratified",1,12.57,1.27668941225453,0.352407595943826,0.334225828420033,FALSE
"EVT3","Fibroblast1",-0.888531093781476,9,12.17,3.56768606219547,8,8,"density_stratified",1,-3.17,0.739523418180812,-0.435332259664392,0.752793596270974,FALSE
"Fibroblast1","Fibroblast1",-0.803531399124896,28,33.11,6.35942790133855,8,8,"density_stratified",1,-5.11,0.845665961919491,-0.241840181902256,0.786999471315445,FALSE
"Fibroblast2","Fibroblast1",1.7410757121168,249,222.58,15.1745267677863,8,8,"density_stratified",1,26.42,1.11869889477438,0.161821778916016,0.384966048530034,FALSE
"Hofbauer cells","Fibroblast1",-1.12448750311436,66,76.71,9.52433883810474,8,8,"density_stratified",1,-10.71,0.860383261623512,-0.216948635171629,0.65863244614145,FALSE
"maternal macrophages","Fibroblast1",-0.88853836280899,5,7.93,3.2975503610769,8,8,"density_stratified",1,-2.93,0.630517023880137,-0.665392768935706,0.752793596270974,FALSE
"STB","Fibroblast1",0.79321110019897,25,20.94,5.11843568274369,8,8,"density_stratified",1,4.06,1.19388729698214,0.255666653758146,0.787405409994991,FALSE
"unknown2","Fibroblast1",0.472635622401885,3,2.21,1.67147790408321,8,8,"density_stratified",1,0.79,1.35746606273418,0.440916131514431,0.879943416137022,FALSE
"unknown3","Fibroblast1",-0.846006759997388,17,20.69,4.36166727457992,8,8,"density_stratified",1,-3.69,0.821652972410747,-0.28339889714883,0.771285613319447,FALSE
"vCTB2","Fibroblast1",-1.40729351734902,69,82.59,9.65683407978228,8,8,"density_stratified",1,-13.59,0.83545223391651,-0.259370747054449,0.534900432988949,FALSE
"vCTBp","Fibroblast1",-0.857722607835562,0,0.9,1.0492902844352,8,8,"density_stratified",1,-0.9,0,-29.8973528539863,0.767087810931569,FALSE
"Endothelial_cells","Fibroblast2",0.252710879936948,111,108.63,9.37830615103955,8,8,"density_stratified",1,2.37,1.02181717756585,0.0311370953261078,0.933599092536437,FALSE
"EVT2","Fibroblast2",-5.03827389295714,239,311.81,14.4513779008205,8,8,"density_stratified",1,-72.81,0.76649241525042,-0.383656577095985,4.98465640880864e-05,TRUE
"EVT3","Fibroblast2",2.16865612172728,99,82.44,7.63606541024204,8,8,"density_stratified",1,16.56,1.20087336243085,0.26408402149895,0.223983990280206,FALSE
"Fibroblast1","Fibroblast2",0.681897830435472,234,224.78,13.521087159685,8,8,"density_stratified",1,9.22,1.04101788414876,0.0579948549906184,0.818081749683285,FALSE
"Fibroblast2","Fibroblast2",-0.237234687366692,1520,1528.45,35.6187372662823,8,8,"density_stratified",1,-8.45000000000005,0.994471523438127,-0.00799803316977766,0.936873497552398,FALSE
"Hofbauer cells","Fibroblast2",1.34254845364981,551,523.87,20.2078367636585,8,8,"density_stratified",1,27.13,1.0517876572412,0.072843473333908,0.565293070192103,FALSE
"maternal macrophages","Fibroblast2",2.19801464056271,69,53.71,6.95627759507899,8,8,"density_stratified",1,15.29,1.28467696888317,0.361405641493501,0.213559652569035,FALSE
"STB","Fibroblast2",2.2501577290237,167,143.73,10.3414972637702,8,8,"density_stratified",1,23.27,1.16190078618826,0.216486884626863,0.197761968279431,FALSE
"unknown2","Fibroblast2",0.0755714317439813,17,16.73,3.57277867698903,8,8,"density_stratified",1,0.27,1.0161386729817,0.0230973023202592,0.978848633707419,FALSE
"unknown3","Fibroblast2",1.17288072669361,159,146.54,10.623416102976,8,8,"density_stratified",1,12.46,1.08502797870148,0.117732246039436,0.639809750611914,FALSE
"vCTB2","Fibroblast2",1.44847969834241,585,557.56,18.9440004095004,8,8,"density_stratified",1,27.4400000000001,1.04921443431909,0.0693095617624269,0.515512799326353,FALSE
"vCTBp","Fibroblast2",-0.140248322105921,6,6.33,2.35296932544065,8,8,"density_stratified",1,-0.33,0.947867298428457,-0.0772429976383312,0.96127748661644,FALSE
"Endothelial_cells","Hofbauer cells",-0.210827105031951,35,36.23,5.83416444295794,8,8,"density_stratified",1,-1.23,0.966050234585536,-0.0498298822800211,0.943063885649834,FALSE
"EVT2","Hofbauer cells",0.614065569431913,111,104.63,10.373485042125,8,8,"density_stratified",1,6.37,1.06088120041039,0.0852631107937143,0.841773830671502,FALSE
"EVT3","Hofbauer cells",2.04812522803609,41,29.53,5.6002435011995,8,8,"density_stratified",1,11.47,1.38841855735224,0.473442554249091,0.26363176143272,FALSE
"Fibroblast1","Hofbauer cells",-0.0588818652260541,77,77.56,9.51056828433028,8,8,"density_stratified",1,-0.560000000000002,0.992779783380702,-0.0104543562025801,0.982408662496279,FALSE
"Fibroblast2","Hofbauer cells",-0.36786099973853,519,526.91,21.5026871705737,8,8,"density_stratified",1,-7.90999999999997,0.984987948604155,-0.0218220202195377,0.904888163024482,FALSE
"Hofbauer cells","Hofbauer cells",1.27648830149887,203,185.72,13.5371393364382,8,8,"density_stratified",1,17.28,1.09304329096978,0.12835054270536,0.598222121633827,FALSE
"maternal macrophages","Hofbauer cells",1.5087360449204,25,18.15,4.54022426358394,8,8,"density_stratified",1,6.85,1.37741046824367,0.461958547634246,0.494409821932591,FALSE
"STB","Hofbauer cells",-1.06117015796183,42,50.68,8.17964954424495,8,8,"density_stratified",1,-8.68,0.828729281751604,-0.271027194874939,0.683434600285588,FALSE
"unknown2","Hofbauer cells",0.161143455013947,6,5.6,2.4822602928815,8,8,"density_stratified",1,0.4,1.07142857123724,0.0995356746398058,0.955390192020807,FALSE
"unknown3","Hofbauer cells",1.91634072428427,64,49.78,7.42039232266207,8,8,"density_stratified",1,14.22,1.28565689029157,0.362505675886854,0.312976125973396,FALSE
"vCTB2","Hofbauer cells",0.898310306354772,206,192.79,14.7053862186066,8,8,"density_stratified",1,13.21,1.0685201514546,0.0956141177049179,0.749777255219204,FALSE
"vCTBp","Hofbauer cells",-0.187814586194242,2,2.34,1.81029603025906,8,8,"density_stratified",1,-0.34,0.854700854335598,-0.226508528737263,0.94739431521698,FALSE
"Endothelial_cells","maternal macrophages",-0.773096730831795,2,3.66,2.14720866487285,8,8,"density_stratified",1,-1.66,0.546448087282391,-0.871843646263365,0.794241537275036,FALSE
"EVT2","maternal macrophages",2.95378065180475,21,10.5,3.55476632654857,8,8,"density_stratified",1,10.5,1.99999999980952,1.00000000058395,0.0500117044566845,FALSE
"EVT3","maternal macrophages",-0.349558915844275,2,2.7,2.00252366030991,8,8,"density_stratified",1,-0.7,0.740740740466392,-0.4329594058628,0.909820786104009,FALSE
"Fibroblast1","maternal macrophages",0.366292243903195,9,7.7,3.5490786967831,8,8,"density_stratified",1,1.3,1.16883116867937,0.225066556681716,0.905197841092065,FALSE
"Fibroblast2","maternal macrophages",-0.490511784460108,48,51.7,7.54314191163005,8,8,"density_stratified",1,-3.7,0.928433268840843,-0.107129873180419,0.873529024732394,FALSE
"Hofbauer cells","maternal macrophages",-0.36601948025014,17,18.59,4.34403108421269,8,8,"density_stratified",1,-1.59,0.914470145190185,-0.128992022394394,0.905251787868427,FALSE
"maternal macrophages","maternal macrophages",0.66148384376604,3,1.86,1.72339809971492,8,8,"density_stratified",1,1.14,1.6129032249393,0.689659879506678,0.823280047827615,FALSE
