"week","sender_label","receiver_label","lr","mean_lr_score","median_lr_score","n_edges","null_mean","null_sd","z_null","p_empirical","k","p_adj"
8,"EVT3","Fibroblast2","PGF->FLT1",2.01625918656044,2.04333242714866,2653,2.07365339707538,NA,NA,NA,40,NA
8,"EVT2","STB","PGF->FLT1",2.01032243570662,1.2082246313887,909,2.30650770508141,NA,NA,NA,8,NA
9,"Hofbauer cells","Endothelial_cells","VEGFA->KDR",2.00207406636813,2.21562777336333,36,0.13626235297088,NA,NA,NA,8,NA
8,"STB","maternal macrophages","PGF->FLT1",2.00171436011164,2.00171436011164,24,1.94817849755729,NA,NA,NA,15,NA
8,"EVT2","Fibroblast2","PGF->FLT1",1.98349362550608,1.77227226733215,3324,1.827361258683,NA,NA,NA,15,NA
8,"Hofbauer cells","Endothelial_cells","VEGFA->KDR",1.95475927318116,2.15270407253022,111,0.153838753300874,NA,NA,NA,25,NA
8,"EVT3","STB","PGF->FLT1",1.95391554486259,1.85593601207823,479,2.19411757653166,NA,NA,NA,15,NA
9,"EVT3","unknown3","PGF->FLT1",1.94345773615767,1.95136152192038,29,2.30429924844522,NA,NA,NA,8,NA
8,"EVT2","STB","PGF->FLT1",1.89951259868377,1.28983917767391,1842,1.83590061519959,NA,NA,NA,15,NA
9,"EVT2","vCTB2","PGF->FLT1",1.89949386391628,2.00393555251363,1797,2.50098714398432,NA,NA,NA,8,NA
9,"EVT3","vCTB2","PGF->FLT1",1.87606657897702,1.81898473108311,324,2.36934966287216,NA,NA,NA,25,NA
9,"EVT3","STB","PGF->FLT1",1.87027199832203,1.82111097345653,71,2.37317899519241,NA,NA,NA,15,NA
8,"STB","Fibroblast1","PGF->FLT1",1.86609384135189,0.470201543798265,164,1.68820121551757,NA,NA,NA,8,NA
8,"STB","EVT2","PGF->FLT1",1.84405725546059,1.35861446650967,510,1.66657637375713,NA,NA,NA,8,NA
9,"EVT3","vCTB2","PGF->FLT1",1.83809655092669,1.77118214544175,205,2.37850952554672,NA,NA,NA,15,NA
9,"Hofbauer cells","Endothelial_cells","VEGFA->KDR",1.83715896470534,2.12164609719529,198,0.135370635551926,NA,NA,NA,40,NA
8,"EVT2","Endothelial_cells","PGF->FLT1",1.83228504089682,1.25575965308901,422,1.83180804768046,NA,NA,NA,15,NA
9,"EVT3","vCTB2","PGF->FLT1",1.81337235001485,1.8024206568072,559,2.28401897310758,NA,NA,NA,40,NA
8,"EVT2","STB","PGF->FLT1",1.81229260639398,1.39257029302801,3055,2.12129610385887,NA,NA,NA,25,NA
9,"EVT2","vCTB2","PGF->FLT1",1.7982615177109,1.74465524856693,5439,2.30586085820793,NA,NA,NA,25,NA
9,"EVT2","vCTB2","PGF->FLT1",1.79740229891733,1.7576292877857,3236,2.41847545486116,NA,NA,NA,15,NA
8,"STB","Fibroblast2","PGF->FLT1",1.79044560262017,1.32149548284493,2017,2.10800732646641,NA,NA,NA,40,NA
9,"EVT2","vCTB2","PGF->FLT1",1.78410374768183,1.70850361347942,8800,2.33163731984465,NA,NA,NA,40,NA
8,"EVT3","STB","PGF->FLT1",1.78305221215172,1.46254578484257,301,2.17905843032828,NA,NA,NA,8,NA
9,"STB","vCTB2","PGF->FLT1",1.78135245458638,1.82640723596071,3693,2.29605203357508,NA,NA,NA,25,NA
9,"Hofbauer cells","Endothelial_cells","VEGFA->KDR",1.75351508557448,2.07463613638096,122,0.136455871193382,NA,NA,NA,25,NA
9,"EVT3","vCTB2","PGF->FLT1",1.75093709177702,1.74146746352604,89,2.3038096129586,NA,NA,NA,8,NA
9,"EVT2","unknown3","PGF->FLT1",1.74973402909325,1.38500447677427,399,2.40923772039121,NA,NA,NA,15,NA
8,"STB","STB","PGF->FLT1",1.7471630092922,0.571155808663968,977,2.1115152942031,NA,NA,NA,40,NA
9,"STB","unknown3","PGF->FLT1",1.73776602203236,1.28488273003314,141,2.49895108014327,NA,NA,NA,8,NA
9,"STB","vCTB2","PGF->FLT1",1.73344752511678,1.85548862503473,1029,2.49554097124325,NA,NA,NA,8,NA
8,"Hofbauer cells","Endothelial_cells","VEGFA->KDR",1.73221606447815,2.22141155314818,37,0.162972955342961,NA,NA,NA,8,NA
8,"EVT2","vCTB2","PGF->FLT1",1.72471303055251,1.71533689337392,2614,2.35479637189014,NA,NA,NA,8,NA
8,"STB","unknown3","PGF->FLT1",1.72070446466001,1.34450898653217,223,1.97355009060666,NA,NA,NA,25,NA
9,"STB","unknown3","PGF->FLT1",1.71496807553419,1.4933881532089,238,2.22982162287591,NA,NA,NA,15,NA
9,"STB","vCTB2","PGF->FLT1",1.70452038013179,1.73451279796346,2128,2.22984587491837,NA,NA,NA,15,NA
9,"vCTBp","Endothelial_cells","VEGFA->KDR",1.70268385552046,2.43177506910037,10,0.056700043029547,NA,NA,NA,25,NA
8,"STB","Fibroblast2","PGF->FLT1",1.69539375031399,0.516582585185905,666,1.80845894641965,NA,NA,NA,15,NA
9,"STB","vCTB2","PGF->FLT1",1.68619843009855,1.7584134036933,5811,2.22644802422927,NA,NA,NA,40,NA
8,"STB","Fibroblast2","PGF->FLT1",1.66306635374949,1.02936048801353,1139,2.00910339113412,NA,NA,NA,25,NA
9,"vCTBp","Endothelial_cells","VEGFA->KDR",1.66239134806588,2.03598158246589,3,0.0532264422423257,NA,NA,NA,8,NA
9,"EVT2","unknown3","PGF->FLT1",1.64936116786528,1.07701230670774,706,2.31549186042512,NA,NA,NA,25,NA
9,"EVT2","unknown3","PGF->FLT1",1.64911129419977,1.25277811910872,1077,2.33308221518843,NA,NA,NA,40,NA
8,"EVT3","vCTB2","PGF->FLT1",1.63715367698363,1.64566462502864,818,2.1828196165143,NA,NA,NA,8,NA
8,"STB","unknown2","PGF->FLT1",1.63252097861919,1.63252097861919,7,2.05249522779592,NA,NA,NA,8,NA
8,"EVT2","vCTB2","PGF->FLT1",1.63063029451079,1.49444123772756,12902,2.17203486435372,NA,NA,NA,40,NA
8,"EVT3","unknown3","PGF->FLT1",1.62858913313715,1.36712245158926,294,2.11490627731693,NA,NA,NA,25,NA
8,"STB","vCTB2","PGF->FLT1",1.62520893594941,1.3515201131274,1742,2.02460584857043,NA,NA,NA,25,NA
8,"EVT2","vCTB2","PGF->FLT1",1.6243087664713,1.46228729258246,7971,2.13095817399392,NA,NA,NA,25,NA
9,"EVT2","unknown3","PGF->FLT1",1.60822975518883,1.15643228205824,207,2.48451332690257,NA,NA,NA,8,NA
9,"STB","unknown3","PGF->FLT1",1.60377789049126,1.24409459842259,397,2.29239677884835,NA,NA,NA,25,NA
8,"EVT3","vCTB2","PGF->FLT1",1.59594392389731,1.62451853519251,1347,2.2105290792003,NA,NA,NA,15,NA
8,"EVT3","vCTB2","PGF->FLT1",1.58005277122014,1.60233156779457,3912,2.07612015997977,NA,NA,NA,40,NA
9,"vCTB2","EVT3","PGF->FLT1",1.57698147855774,1.34888245699606,2804,0.768501353345619,NA,NA,NA,40,NA
9,"EVT2","Endothelial_cells","TGFB1->TGFBR2",1.56936804159984,1.59647835246109,476,0.608394324362415,NA,NA,NA,25,NA
8,"EVT3","unknown3","PGF->FLT1",1.56084914174793,1.37618947771614,503,2.05586864212605,NA,NA,NA,40,NA
8,"STB","vCTBp","PGF->FLT1",1.55512119213102,1.55512119213102,8,1.56017523308053,NA,NA,NA,8,NA
8,"EVT3","vCTB2","PGF->FLT1",1.55404664656105,1.57698572510472,2382,2.10519177718965,NA,NA,NA,25,NA
9,"vCTB2","EVT3","PGF->FLT1",1.54991816519605,1.41870639267547,526,0.758682543268306,NA,NA,NA,8,NA
9,"EVT3","unknown3","PGF->FLT1",1.54466788075088,1.41069058374902,53,2.37248871649591,NA,NA,NA,25,NA
8,"STB","vCTB2","PGF->FLT1",1.53481703860707,0.923274646403537,2745,2.10603506563149,NA,NA,NA,40,NA
8,"EVT2","unknown3","PGF->FLT1",1.52530128018066,1.20509923087114,1031,2.16116246266011,NA,NA,NA,25,NA
9,"vCTB2","EVT3","PGF->FLT1",1.52347111457401,1.32375856996889,1673,0.787271008911172,NA,NA,NA,25,NA
8,"EVT2","Endothelial_cells","TGFB1->TGFBR2",1.52223930873411,1.42624616914553,1138,0.61619681304663,NA,NA,NA,40,NA
8,"EVT2","vCTB2","PGF->FLT1",1.52201468596786,1.12958226616275,4741,1.84263594853122,NA,NA,NA,15,NA
9,"EVT2","Endothelial_cells","TGFB1->TGFBR2",1.50681595289467,1.4597892532892,119,0.636868469835819,NA,NA,NA,8,NA
9,"STB","unknown3","PGF->FLT1",1.50601195258035,1.03784713772489,660,2.23809151703945,NA,NA,NA,40,NA
8,"Fibroblast2","Endothelial_cells","VEGFA->KDR",1.50159683449136,1.5317968221637,104,0.0828222243265593,NA,NA,NA,8,NA
9,"EVT2","Endothelial_cells","TGFB1->TGFBR2",1.49918408440963,1.55532711014977,710,0.614291317678345,NA,NA,NA,40,NA
8,"STB","STB","PGF->FLT1",1.49514930089416,0.836415442555731,218,1.64498331906081,NA,NA,NA,8,NA
9,"EVT3","unknown3","PGF->FLT1",1.49445129603213,1.50261722236603,60,2.31266610179657,NA,NA,NA,40,NA
8,"EVT2","unknown3","PGF->FLT1",1.48017490515735,0.918292427110905,596,1.83539226985643,NA,NA,NA,15,NA
9,"vCTB2","EVT3","PGF->FLT1",1.47501340794354,1.35361685155777,1106,0.774769273247354,NA,NA,NA,15,NA
8,"EVT2","Endothelial_cells","TGFB1->TGFBR2",1.46707238493773,1.45513564468178,678,0.609164311398237,NA,NA,NA,25,NA
9,"EVT3","unknown3","PGF->FLT1",1.45964222954569,1.41807460345065,30,2.38974534324144,NA,NA,NA,15,NA
8,"EVT2","unknown3","PGF->FLT1",1.45765877946133,1.05482352505703,1541,2.15157351042419,NA,NA,NA,40,NA
8,"EVT3","unknown3","PGF->FLT1",1.4512987928789,1.2609288800423,151,2.18800794716569,NA,NA,NA,15,NA
9,"EVT2","Fibroblast2","TGFB1->TGFBR1",1.4448054009562,1.40822310255438,3979,0.754772278643888,NA,NA,NA,25,NA
9,"maternal macrophages","Endothelial_cells","VEGFA->KDR",1.44045406455836,1.548628962455,12,0.0392608313202464,NA,NA,NA,40,NA
9,"EVT2","Endothelial_cells","TGFB1->TGFBR2",1.43892234092197,1.4531184635792,226,0.623396151460482,NA,NA,NA,15,NA
8,"vCTB2","EVT3","PGF->FLT1",1.43825761597743,1.33549208772749,259,0.713621409569136,NA,NA,NA,8,NA
8,"EVT2","Endothelial_cells","TGFB1->TGFBR2",1.43392378357628,1.38520724867262,250,0.603877569050672,NA,NA,NA,8,NA
8,"EVT2","Fibroblast2","TGFB1->TGFBR1",1.43155600050532,1.35456847130093,5812,0.756126943400776,NA,NA,NA,25,NA
8,"EVT2","Fibroblast2","TGFB1->TGFBR1",1.4291971126328,1.3683424238925,1751,0.699764278268865,NA,NA,NA,8,NA
9,"EVT2","Fibroblast2","TGFB1->TGFBR1",1.42758407211822,1.40364490828124,6257,0.747194550626843,NA,NA,NA,40,NA
