"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.00235921532013816,0.745188023373955,0.103,0.062,1,"N5","WDFY4"
0.00238126857239179,0.403035441097878,0.187,0.13,1,"N5","AC090517.5"
0.00244823971338691,0.806006511399222,0.126,0.082,1,"N5","HSPA4L"
0.00245351256601918,0.401669899073649,0.15,0.099,1,"N5","GABRA3"
0.00246091209499886,0.516480505747834,0.201,0.146,1,"N5","ASAP2"
0.00255842154388532,0.422413208683721,0.284,0.221,1,"N5","PVT1"
0.00257018222134007,0.393852886898884,0.207,0.149,1,"N5","SDHC"
0.0025842369383974,0.491212655666379,0.277,0.214,1,"N5","PIAS2"
0.00262204381115807,0.44846015797968,0.245,0.184,1,"N5","APTX"
0.00267172371148503,0.308403415359143,0.284,0.219,1,"N5","SLC7A6"
0.00271518285246795,0.29955304520833,0.632,0.578,1,"N5","CHST11"
0.00279072414917789,0.538486588704023,0.139,0.092,1,"N5","TMEM51"
0.00280561923939153,0.617142906470306,0.137,0.092,1,"N5","PARP9"
0.00280650400244131,0.77749919906384,0.106,0.066,1,"N5","LRP12"
0.00287670481212311,0.659561001631483,0.154,0.106,1,"N5","LAP3"
0.00290840530580546,0.687034889497965,0.132,0.087,1,"N5","EGFL7"
0.00291046526017258,0.344336724007697,0.266,0.2,1,"N5","TPST2"
0.00293164019223674,0.631941613839683,0.172,0.122,1,"N5","CCDC7"
0.00293892985690729,0.538558699118817,0.211,0.155,1,"N5","LYVE1"
0.00298372573404642,0.372423888805555,0.247,0.187,1,"N5","FBXO7"
0.00302296905505453,0.8688921308663,0.132,0.088,1,"N5","CLEC1A"
0.00304381856842889,0.396758592063713,0.361,0.296,1,"N5","C2CD5"
0.00306170374552777,0.341621978766561,0.326,0.259,1,"N5","LRRC28"
0.00318034962803871,0.678551700437518,0.236,0.18,1,"N5","MITF"
0.00321922749248262,0.572715440409876,0.126,0.083,1,"N5","DENND3"
0.00325192577665969,0.260692092992308,0.504,0.436,1,"N5","CTSC"
0.0032975203965683,0.659282431455147,0.161,0.113,1,"N5","SLC37A1"
0.00333076456637809,0.636825272332006,0.125,0.081,1,"N5","U2AF2"
0.00334802921600362,0.361932142146417,0.3,0.235,1,"N5","SUSD1"
0.00336377810466536,0.384741460383328,0.236,0.176,1,"N5","PLXND1"
0.00340573052682423,0.73791139744632,0.108,0.068,1,"N5","RCN3"
0.00341538389987977,0.384741460383328,0.289,0.224,1,"N5","LDLRAD4"
0.00342765574436043,0.624062320410097,0.134,0.089,1,"N5","PFKFB3"
0.00345441510757654,0.504480704657424,0.225,0.17,1,"N5","SHB"
0.00352874022987735,0.416770466503299,0.266,0.205,1,"N5","SPIRE1"
0.0035425626133679,0.452028546936105,0.22,0.163,1,"N5","ATP7B"
0.00355491065078113,0.356162159404487,0.359,0.295,1,"N5","CD47"
0.00355697051239109,0.467977370918436,0.253,0.194,1,"N5","PTMS"
0.00357238351747899,0.702798991015015,0.106,0.067,1,"N5","TMEM273"
0.00363552279873362,0.440755107047037,0.218,0.163,1,"N5","ZNF700"
0.00365373615653306,0.617142906470306,0.2,0.147,1,"N5","PTPN18"
0.0036745184295975,0.585000068458698,0.233,0.177,1,"N5","RUNX1"
0.0036779847356624,0.334555703215112,0.346,0.276,1,"N5","CMC1"
0.00368585890004128,0.302255211311802,0.333,0.263,1,"N5","SUGP2"
0.00374975478632987,0.323284590880092,0.306,0.24,1,"N5","CLEC2D"
0.00380644997217607,0.381476750602604,0.19,0.137,1,"N5","AKAP8"
0.00380769953712283,0.44378477296987,0.192,0.139,1,"N5","ZNF267"
0.00386481334892311,0.524658586595054,0.13,0.086,1,"N5","TBP"
0.00393775375070378,0.408874023904945,0.258,0.196,1,"N5","DTWD1"
0.00396900719128495,0.458767730612656,0.344,0.285,1,"N5","DOCK4"
0.0039792495112914,0.341835929131269,0.299,0.236,1,"N5","MDFIC"
0.0039820351298734,0.472631838618084,0.172,0.122,1,"N5","PNKD"
0.00401544224150301,0.48523461571278,0.148,0.101,1,"N5","PEPD"
0.00408730206715297,0.521925839116833,0.201,0.148,1,"N5","PLEKHF2"
0.00412813341593506,0.608316515641964,0.158,0.11,1,"N5","LNCAROD"
0.0041345442704228,0.344403489171459,0.185,0.131,1,"N5","L3MBTL3"
0.00415627041295,0.411089551404411,0.39,0.322,1,"N5","CPQ"
0.00416107005888671,0.413411123926351,0.189,0.135,1,"N5","AC053513.1"
0.00417664962249261,0.370775891127865,0.284,0.221,1,"N5","MECP2"
0.00418966814278102,0.536863878508227,0.141,0.095,1,"N5","TMEM192"
0.00424848752222211,0.562884431050182,0.244,0.189,1,"N5","PITPNC1"
0.0042746889554595,0.272039219095003,0.392,0.32,1,"N5","MTF2"
0.00428009053859362,0.413627274206311,0.267,0.208,1,"N5","BICRAL"
0.00430447511938944,0.388494510325915,0.17,0.121,1,"N5","DELE1"
0.00433577712173669,0.76960316322545,0.128,0.086,1,"N5","CD4"
0.00438345534167263,0.441470907131624,0.28,0.219,1,"N5","MIA2"
0.00440327556972194,0.607240279082625,0.128,0.086,1,"N5","CTSA"
0.00443169044237064,0.47061725279114,0.196,0.144,1,"N5","TFB1M"
0.00452514220892831,0.585812941272552,0.159,0.112,1,"N5","THAP12"
0.00459514316925111,0.293481521552124,0.568,0.515,1,"N5","DOCK8"
0.00461389504232813,0.483565652348178,0.339,0.277,1,"N5","TTN-AS1"
0.00466127829239051,0.552182197279512,0.321,0.259,1,"N5","TMSB4X"
0.0047027192743722,0.355464692978092,0.419,0.351,1,"N5","GALK2"
0.00470821407763752,0.576669457421808,0.258,0.204,1,"N5","MKNK1"
0.00473120720239526,0.632896977784858,0.103,0.065,1,"N5","CCR1"
0.00474440262442715,0.347731091962845,0.304,0.24,1,"N5","SNX5"
0.00481586001143816,0.589533554177847,0.225,0.172,1,"N5","MYO5A"
0.00486199432155378,0.679467116103313,0.128,0.086,1,"N5","CIZ1"
0.00489037034803279,0.355694470273262,0.328,0.267,1,"N5","MFSD14B"
0.005005760514945,0.268592440836753,0.196,0.142,1,"N5","RNF144B"
0.00506608695079889,0.404161170700978,0.302,0.245,1,"N5","NCOR2"
0.00507190906858785,0.490723514274765,0.275,0.214,1,"N5","JAM3"
0.00514361470845182,0.250491438426637,0.249,0.188,1,"N5","KIF13B"
0.00515554014311035,0.359302365550797,0.203,0.149,1,"N5","EIPR1"
0.0051852725682136,0.381442090845947,0.192,0.139,1,"N5","EHD4"
0.00519117916910778,0.666572615726058,0.176,0.128,1,"N5","FKBP5"
0.00519216572625418,0.383943730177275,0.289,0.227,1,"N5","FANCL"
0.00521171417593339,0.520968827445993,0.271,0.214,1,"N5","ATP1B1"
0.00524917449937921,0.52321726723901,0.121,0.08,1,"N5","LINC01605"
0.00527959694297485,0.341409374256174,0.341,0.274,1,"N5","MANBA"
0.00529798617169789,0.532001767421328,0.125,0.083,1,"N5","PPP1R7"
0.00546863866998339,0.50858510299016,0.183,0.134,1,"N5","TMEM184C"
0.00547945971168981,0.55539767298816,0.128,0.086,1,"N5","PLEK"
0.00558917463281854,0.501419977555117,0.357,0.296,1,"N5","CASD1"
0.00562498309725263,0.531857143588729,0.176,0.129,1,"N5","TRAP1"
