"week","from","to","n_k_tested","n_k_sig","median_z","robust_fraction"
11,"Erythroblasts","vCTB",4,0,0.295407654158608,0
11,"EVT-progenitor","Endothelial",4,0,-0.656878416859397,0
11,"EVT-progenitor","Erythroblasts",4,0,-1.34299839710954,0
11,"EVT-progenitor","EVT-progenitor",4,0,0.0565857162185034,0
11,"EVT-progenitor","FIB1",4,1,2.36283767655411,0.25
11,"EVT-progenitor","FIB2",4,0,-1.15720108535267,0
11,"EVT-progenitor","Hofbauer cells",4,0,-1.91487340463823,0
11,"EVT-progenitor","STB",4,0,1.11607390333912,0
11,"EVT-progenitor","STB-progenitor",4,0,-0.868447670044554,0
11,"EVT-progenitor","vCTB",4,0,1.78191004075555,0
11,"FIB1","Endothelial",4,0,-0.36702821214459,0
11,"FIB1","Erythroblasts",4,0,-1.60049737175904,0
11,"FIB1","EVT-progenitor",4,0,0.696697823496599,0
11,"FIB1","FIB1",4,0,1.97887182735316,0
11,"FIB1","FIB2",4,0,-0.808317098379271,0
11,"FIB1","Hofbauer cells",4,0,-0.852752162747436,0
11,"FIB1","STB",4,1,1.62708850334408,0.25
11,"FIB1","STB-progenitor",4,0,-0.081865554144582,0
11,"FIB1","vCTB",4,0,0.209638696854119,0
11,"FIB2","Endothelial",4,0,0.214436171549252,0
11,"FIB2","Erythroblasts",4,0,-1.07669038678176,0
11,"FIB2","EVT-progenitor",4,0,-1.2246009327406,0
11,"FIB2","FIB1",4,2,3.68506610085649,0.5
11,"FIB2","FIB2",4,1,-1.72183751137661,0.25
11,"FIB2","Hofbauer cells",4,1,-2.43495169527768,0.25
11,"FIB2","STB",4,1,2.31817124977358,0.25
11,"FIB2","STB-progenitor",4,0,0.696979191897107,0
11,"FIB2","vCTB",4,1,1.00146745253739,0.25
11,"Hofbauer cells","Endothelial",4,0,0.266752314483139,0
11,"Hofbauer cells","Erythroblasts",4,0,-1.18844960077137,0
11,"Hofbauer cells","EVT-progenitor",4,0,-0.565328037336324,0
11,"Hofbauer cells","FIB1",4,1,2.67500575382197,0.25
11,"Hofbauer cells","FIB2",4,0,-1.30318590743386,0
11,"Hofbauer cells","Hofbauer cells",4,1,-2.1037539241911,0.25
11,"Hofbauer cells","STB",4,1,2.15215020546978,0.25
11,"Hofbauer cells","STB-progenitor",4,0,-0.519540999256403,0
11,"Hofbauer cells","vCTB",4,0,1.0887816032638,0
11,"STB","Endothelial",4,0,0.159476944723128,0
11,"STB","Erythroblasts",4,0,-0.723321324499728,0
11,"STB","EVT-progenitor",4,0,-0.0103359208800763,0
11,"STB","FIB1",4,1,3.07327772043236,0.25
11,"STB","FIB2",4,0,-1.10136239968309,0
11,"STB","Hofbauer cells",4,0,-2.33986206189936,0
11,"STB","STB",4,0,1.51115830913414,0
11,"STB","STB-progenitor",4,0,-0.210260089791892,0
11,"STB","vCTB",4,0,1.55445230376031,0
11,"STB-progenitor","Endothelial",4,0,-0.367928231076299,0
11,"STB-progenitor","Erythroblasts",4,0,-0.130757333428828,0
11,"STB-progenitor","EVT-progenitor",4,0,0.319165558636043,0
11,"STB-progenitor","FIB1",4,0,-0.259516915443009,0
11,"STB-progenitor","FIB2",4,0,-1.01399512275677,0
11,"STB-progenitor","Hofbauer cells",4,0,0.384333414011717,0
11,"STB-progenitor","STB",4,0,-0.443320372510576,0
11,"STB-progenitor","STB-progenitor",4,0,-0.185239337787854,0
11,"STB-progenitor","vCTB",4,0,0.38722707433646,0
11,"vCTB","Endothelial",4,0,-0.154487218454628,0
11,"vCTB","Erythroblasts",4,0,0.291049095355998,0
11,"vCTB","EVT-progenitor",4,0,-0.305034981108745,0
11,"vCTB","FIB1",4,1,1.48010180779819,0.25
11,"vCTB","FIB2",4,1,-1.21293131364777,0.25
11,"vCTB","Hofbauer cells",4,0,-1.82413261825695,0
11,"vCTB","STB",4,1,1.03654162225741,0.25
11,"vCTB","STB-progenitor",4,0,-0.070761273778948,0
11,"vCTB","vCTB",4,0,2.33389666349,0
