"dataset","week","celltype_use","PLD1_mean","PLD1_median","MMP2_mean","MMP2_median","MMP9_mean","MMP9_median","CDH1_mean","CDH1_median","GALNT1_mean","GALNT1_median","HLA-G_mean","HLA-G_median","FLT1_mean","FLT1_median","PGF_mean","PGF_median","VEGFA_mean","VEGFA_median","NKG7_mean","NKG7_median","GNLY_mean","GNLY_median","score_MMP_ECM_Remodeling_mean","score_MMP_ECM_Remodeling_median","score_Immune_Tolerance_mean","score_Immune_Tolerance_median","score_Cytotoxic_NK_mean","score_Cytotoxic_NK_median","score_Ethanolamine_Metabolism_mean","score_Ethanolamine_Metabolism_median","ratio_log_PLD1_MMP9_mean","ratio_log_PLD1_MMP9_median","n_cells"
"Multiome",7,"Maternal fibroblast",0.306507088499358,0,0.333088434100481,0,0,0,0,0,0.448303560303695,0,0,0,0,0,0,0,0.147330911610169,0,0,0,0,0,0.308467645879099,0.300453118440121,-0.0693880387487969,-0.0825553175909592,-0.0031507070125501,-0.00319563372060455,-0.0127281542371608,-0.0134076265964862,0.194082323913513,0,13
"Multiome",7,"vCTB3",0,0,0,0,0,0,1.57440059167669,1.59644557250386,0.641993466071177,0.844488709825845,0,0,1.72322192826299,1.83214584480824,0,0,0,0,0,0,0,0,-0.0400009280752757,-0.0191566839194247,-0.03897780630009,-0.0517872761196225,-0.0010039123543206,0,-0.0964292964796569,-0.121807544652335,0,0,7
"Multiome",8,"vCTB2",0.132330836057283,0,0.0193403961330531,0,0.00102915166271604,0,1.35906471343679,1.48825403874963,0.503091209416415,0,0.0324965515536265,0,1.55216985550855,1.6830825244673,0.243111086766981,0,0.032856371051311,0,0.000218211034196613,0,0.00217210455685605,0,-0.0767212428257582,-0.0829590126360532,-0.00180832140436194,-0.00187503736866039,-0.00051950322603682,-0.000972564744978242,-0.060585206611993,-0.0693388039151659,0.0874540258258309,0,5437
"Multiome",8,"vCTBp",0.214194922484971,0,0.0255363925990415,0,0.00107156541529398,0,1.43627719930956,1.51161964230335,0.511720165263373,0,0.0272240346554061,0,1.28223683695474,1.39826268981581,0.13304045783357,0,0.0326766730776604,0,0,0,0.000359468744265194,0,-0.151956248135255,-0.154888325370605,-0.0425154769326134,-0.0504902848814466,-0.000764709087744227,-0.00106301647208902,-0.0621762704491449,-0.0721682068106714,0.147236303680809,0,1501
"Multiome",8,"STB",0.0735109790286263,0,0.0257107544678835,0,0.0031214582913234,0,0.664463566540366,0.592989170245379,0.490443577065524,0,0.0444855829100822,0,1.10394787871894,1.11839673981929,1.55080196329354,1.64937785337787,0.118150928448167,0,0,0,0.00101516385738016,0,0.0123930521754898,-0.000225948801208353,0.044237075339486,0.0388599570129302,-0.000773432967003872,-0.000767384769306878,-0.0547473027460874,-0.0637531803950015,0.0483041542710964,0,703
"Multiome",8,"EVT2",0.159721812148298,0,1.17308477292525,1.20753159438098,0.0153376910733293,0,0.253195508987139,0,1.29755993530254,1.40994050349361,1.13262394248925,1.06609867420757,2.33037040921251,2.50143857511357,1.64934418333211,1.75326763799079,0.0389432638138504,0,0,0,0,0,0.190709989617151,0.166872546013843,0.222800396452131,0.22431770130012,-0.00137619994263189,-0.00132426029581552,-0.154023808815455,-0.165833782297983,0.104026724560721,0,614
"Multiome",8,"Fibroblast2",0.584098681452974,0,0.684495011754168,0.45497714366971,0.00526187631161425,0,0.0653964191668254,0,1.06594125265985,1.17065114251001,0.0903386957283629,0,1.77338278461864,1.93307784356284,0.155906475363904,0,0.657841072738131,0,0,0,0.00539063083148275,0,0.185055074996331,0.185622402113979,-0.0383679486681722,-0.0623851416453252,0.000765584228133628,-0.00166080600081284,-0.0475456123426903,-0.0744577940608717,0.349423343049712,0,446
"Multiome",8,"vCTB3",0.203099229125886,0,0.03160466447911,0,0,0,1.58019811519043,1.68213174773558,0.594156907093075,0.533311787990251,0.0339531280663824,0,1.55179144853277,1.72831338810936,0.125344495223814,0,0.00443515235293089,0,0,0,0.00551237680239858,0,-0.157751803594408,-0.177516895764167,-0.0364054471958414,-0.0479081071748002,-9.22948145743546e-05,-0.00124956121667471,-0.0528665378344222,-0.0597109945484033,0.14258150223474,0,366
"Multiome",8,"vCTB1",0.253594913719353,0,0,0,0,0,1.5530754745112,1.70446178781306,0.511557882029414,0,0.0271424514044611,0,1.6701534996892,1.90193101759175,0.102316733922296,0,0.0408653251642442,0,0,0,0.00223209396491344,0,-0.157526874196519,-0.175995314478364,-0.0312025023430989,-0.0484923479419511,-0.000795246401649433,-0.000851454887779126,0.0644373216473443,0.0726942905342076,0.167253778510313,0,199
"Multiome",8,"EVT3",0.178266739133959,0,1.03148795433987,0.871232303544888,0.00452841597319347,0,0.310835886008245,0,0.844940366874756,0.83433037801213,2.20455628488889,2.56325257663377,3.71175039049194,4.03066371792016,0.914417843017124,0.976578383478106,0.0306719719149945,0,0,0,0,0,0.40427324634605,0.458832989561291,0.242618438908821,0.26028351627324,-0.00126453457209046,-0.00101608582610937,-0.140873890695599,-0.153811352282872,0.124158123711581,0,139
