"dataset","niche_cluster","gene","avg_diff","p_val","p_adj"
"STARmap","N1","DSTN",0.191818351974035,0.304761904761905,1
"STARmap","N1","CA2",0.191363288292997,0.685714285714286,1
"STARmap","N1","ADGRG6",0.191000821086207,0.8,1
"STARmap","N1","DGKZ",0.189997188490922,0.571428571428571,1
"STARmap","N1","CALR",0.189646375858427,0.8,1
"STARmap","N1","PXN",0.189638691645102,0.685714285714286,1
"STARmap","N1","RBM25",0.189559058958775,0.476190476190476,1
"STARmap","N1","ARPC2",0.189480363558362,0.933333333333333,1
"STARmap","N1","ANKRD50",0.189441455514612,0.476190476190476,1
"STARmap","N1","TMC1",0.189018974373394,0.571428571428571,1
"STARmap","N1","OSBPL9",0.188564404449582,0.380952380952381,1
"STARmap","N1","DOCK1",0.187721182807981,0.685714285714286,1
"STARmap","N1","KLF5",0.187677787874722,0.933333333333333,1
"STARmap","N1","EEF1G",0.186797843823334,0.933333333333333,1
"STARmap","N1","MME",0.186021591375403,0.933333333333333,1
"STARmap","N1","TLE5",0.184618327365973,0.571428571428571,1
"STARmap","N1","MYCN",0.184046591499732,0.685714285714286,1
"STARmap","N1","DIP2C",0.183770577941851,0.8,1
"STARmap","N1","ABCA7",0.183407851254279,0.685714285714286,1
"STARmap","N1","SLTM",0.183160244705445,0.380952380952381,1
"STARmap","N1","FYB1",0.182685917747612,0.8,1
"STARmap","N1","PRKD3",0.181841769571246,0.380952380952381,1
"STARmap","N1","NR6A1",0.181470054245798,0.685714285714286,1
"STARmap","N1","PDIA6",0.181153622421244,1,1
"STARmap","N1","PDE10A",0.180771121540166,1,1
"STARmap","N1","ENO1",0.180471762880013,0.8,1
"STARmap","N1","EPN2",0.180061223633201,0.571428571428571,1
"STARmap","N1","RAD51B",0.179224051981496,0.8,1
"STARmap","N1","RPL36A",0.178761948000718,1,1
"STARmap","N1","NCOA1",0.178706892600415,0.685714285714286,1
"STARmap","N1","PTN",0.178404130728731,1,1
"STARmap","N1","MFSD12",0.177816188418385,0.571428571428571,1
"STARmap","N1","CTBP2",0.177422525363109,0.685714285714286,1
"STARmap","N1","TYMP",0.177401673376616,0.571428571428571,1
"STARmap","N1","ASAP3",0.177229325083613,0.571428571428571,1
"STARmap","N1","RPN2",0.177097125109542,0.685714285714286,1
"STARmap","N1","CREB3L2",0.176701083247438,0.685714285714286,1
"STARmap","N1","MPDZ",0.176474877303172,0.571428571428571,1
"STARmap","N1","YWHAZ",0.176457090935206,0.476190476190476,1
"STARmap","N1","GOLGA4",0.175987803947499,0.933333333333333,1
"STARmap","N1","AIF1L",0.175836010877811,0.476190476190476,1
"STARmap","N1","DIAPH3",0.175469568810022,0.685714285714286,1
"STARmap","N1","KIAA1217",0.174845564286517,0.933333333333333,1
"STARmap","N1","RASAL2",0.174650742311419,0.8,1
"STARmap","N1","ARHGAP21",0.174113962466548,0.476190476190476,1
"STARmap","N1","JUP",0.173975042829925,0.8,1
"STARmap","N1","DOCK7",0.173785754883397,0.380952380952381,1
"STARmap","N1","PRRC2C",0.172920229046989,0.380952380952381,1
"STARmap","N1","DIP2B",0.172905261732753,0.571428571428571,1
"STARmap","N1","FER",0.172122215069892,0.571428571428571,1
"STARmap","N1","RPL6",0.171623724341234,1,1
"STARmap","N1","RAB8B",0.171226547073398,1,1
"STARmap","N1","TAOK3",0.170756764575139,0.933333333333333,1
"STARmap","N1","FOXN2",0.170703524953782,0.476190476190476,1
"STARmap","N1","ST3GAL6",0.170649639359711,0.8,1
"STARmap","N1","CXCL14",0.170478867041552,0.933333333333333,1
"STARmap","N1","FAF1",0.170337151874049,0.685714285714286,1
"STARmap","N1","TOM1L2",0.170011376821462,0.476190476190476,1
