"dataset","version","week","week_num","celltype","n_cells","total_cells","prop","is_fibro","fibro_prop","ratio_to_fibro","log2_ratio_to_fibro"
"Multiome","reference","11",11,"EVT2",54,3949,0.0136743479361864,FALSE,0.188655355786275,0.0724832214765101,-3.7861892094751
"Multiome","reference","11",11,"EVT3",105,3949,0.026589009875918,FALSE,0.188655355786275,0.140939597315436,-2.8268408614549
"Multiome","reference","11",11,"Endothelial_cells",34,3949,0.00860977462648772,FALSE,0.188655355786275,0.0456375838926175,-4.45360216245124
"Multiome","reference","11",11,"Fibroblast1",87,3949,0.0220308938971892,TRUE,0.188655355786275,0.116778523489933,-3.09814076544098
"Multiome","reference","11",11,"Fibroblast2",614,3949,0.155482400607749,TRUE,0.188655355786275,0.824161073825503,-0.279000019479095
"Multiome","reference","11",11,"Hofbauer cells",36,3949,0.00911623195745758,FALSE,0.188655355786275,0.0483221476510067,-4.37114175844376
"Multiome","reference","11",11,"Maternal fibroblast",44,3949,0.011142061281337,TRUE,0.188655355786275,0.0590604026845638,-4.0816405694689
"Multiome","reference","11",11,"STB",223,3949,0.05646999240314,FALSE,0.188655355786275,0.299328859060403,-1.74019189567133
"Multiome","reference","11",11,"maternal macrophages",95,3949,0.0240567232210686,FALSE,0.188655355786275,0.12751677852349,-2.97122969329656
"Multiome","reference","11",11,"myeloid_unknown",1,3949,0.000253228665484933,FALSE,0.188655355786275,0.00134228187919463,-9.54002220771123
"Multiome","reference","11",11,"unknown2",23,3949,0.00582425930615346,FALSE,0.188655355786275,0.0308724832214765,-5.01748792927518
"Multiome","reference","11",11,"vCTB1",277,3949,0.0701443403393264,FALSE,0.188655355786275,0.371812080536913,-1.42735056913297
"Multiome","reference","11",11,"vCTB2",1709,3949,0.43276778931375,FALSE,0.188655355786275,2.29395973154362,1.19784069523684
"Multiome","reference","11",11,"vCTB3",22,3949,0.00557103064066852,FALSE,0.188655355786275,0.0295302013422819,-5.08161614263916
"Multiome","reference","11",11,"vCTBp",617,3949,0.156242086604204,FALSE,0.188655355786275,0.828187919463087,-0.271968194211197
"Multiome","reference","6",6,"EVT1",25,3712,0.00673491379310345,FALSE,0.228448275862069,0.0294811320754717,-5.08401532940263
"Multiome","reference","6",6,"EVT2",387,3712,0.104256465517241,FALSE,0.228448275862069,0.456367924528302,-1.131727537168
